Topic,Words
1,"대통령실, 호텔, 아내, 재판, 파견, 소속, 중앙, 중인, 지난, 근무"
2,"여사, 유코, 일본, 문화, 한국, 제보, 그룹, 방문, 오후, 간담"
3,"의장, 대통령, 마을, 국회, 우원식, 국회의장, 한반도, 검찰, 여야, 예방"
4,"일본, 총리, 서울대, 방문, 교류, 대통령, 간담, 방한, 한일, 우리나라"
5,"안보, 영국, 회의, 협력, 양국, 사이버, 대통령실, 합의, 개최, 전략"
6,"양국, 한일, 총리, 여사, 협력, 교류, 발전, 일본, 일정, 유코"
7,"여사, 유코, 총리, 한일, 일본, 방문, 학생, 교류, 대통령, 한국"
8,"안보, 영국, 사이버, 경제, 회의, 협력, 합의, 대화, 논의, 블랙"
9,"의료, 증원, 과학, 의대, 논의, 정부, 의견, 제시, 근거, 협의"
10,"일본, 총리, 외교, 대통령, 한일, 서울대, 대변인, 사전, 학생, 정상"
11,"관계, 더욱, 정상회담, 미래, 일본, 대변인, 강조, 양국, 대통령, 방한"
12,"의료, 증원, 의대, 과학, 의견, 논의, 제시, 합리, 정부, 근거"
13,"과학, 논의, 의료, 합리, 의견, 근거, 정부, 제시, 국무조정실, 학년"
14,"안보, 영국, 사이버, 회의, 경제, 합의, 협력, 하반기, 대화, 논의"
15,"증원, 제로, 의료, 논의, 베이스, 의대, 정부, 과학, 학년, 제시"
16,"안보, 영국, 사이버, 회의, 경제, 합의, 협력, 하반기, 대화, 논의"
17,"안보, 사이버, 영국, 경제, 양국, 협력, 대화, 회의, 윤석열, 기술"
18,"안보, 영국, 사이버, 회의, 양국, 협력, 정부, 대통령실, 개최, 경제"
19,"안보, 사이버, 회의, 영국, 대통령실, 경제, 양국, 협력, 정부, 대화"
20,"양국, 안보, 회의, 협력, 영국, 사이버, 대통령실, 합의, 개최, 정부"
21,"총리, 관계, 일본, 대통령, 한일, 외교, 협력, 정상, 정상회담, 후미"
22,"부부, 총리, 윤석열, 대통령, 한일, 가량, 예측, 라인, 역사, 후미"
23,"여사, 유코, 일본, 한국, 음악, 산업, 노력, 부인, 세계, 문화"
24,"여사, 유코, 일본, 음악, 한국, 산업, 간담, 노력, 면서, 세계"
25,"총리, 정상, 양국, 협력, 윤석열, 대통령, 교류, 정상회담, 한일, 후미"
26,"여사, 일본, 유코, 산업, 음악, 수출, 한국, 한일, 문화, 양국"
27,"대통령, 국회, 대표, 상황, 정부, 정치, 국민, 의료, 대통령실, 브리핑"
28,"일본, 한국인, 논의, 전달, 사건, 협력, 한일, 총리, 검토, 자료"
29,"트럼프, 경찰, 대통령, 해리스, 부통령, 행사, 연설, 대선, 지지, 대한"
