Topic,Frequency
대통령,965
대통령,965
대통령,965
미국,912
시장,759
한국,694
의료,658
대표,637
일본,634
사람,571
사람,571
스타,552
중국,451
중국,451
중국,451
풍선,434
투자,417
북한,406
개발,387
총리,382
가격,357
가격,357
기후,347
기후,347
러시아,343
사업,336
지원,329
하락,329
주택,306
관리,297
우크라이나,286
제주,282
대출,274
대출,274
게임,250
민주당,247
운동,229
여사,219
혐의,218
아이폰,214
생명,194
생명,194
청년,194
청년,194
후보,193
뉴욕,187
안보,182
사고,176
광주,174
선수,169
아파트,161
호텔,158
모델,147
전기차,145
매장,145
보험,136
아침,131
파리,131
친구,129
페이크,126
수사,122
분양,120
기온,120
급락,119
응급실,115
모기,114
종이,109
커피,106
카드,103
이스라엘,103
구매,102
카카오,97
고메즈,95
블랙,93
뷰티,92
국장,88
믹스,79
제목,78
외국인,78
물가,74
로스,72
가전,69
신라,67
폭스바겐,61
통일,59
슈퍼,59
로블록스,57
마이크로,55
화생,51
오대산,46
자강도,45
애니팡,41
월세,38
난청,38
배드민턴,36
메탄,35
잠수함,29
대사관,28
침식,20
바랭이,16
