Topic,Frequency
대표,1629
대통령,1042
대통령,1042
서울,929
한국,922
정부,907
사업,819
기술,800
주파수,653
지역,631
투자,582
대출,544
게임,508
산업,495
중국,411
부산,410
교육,386
일본,378
학교,373
학교,373
추석,330
페이크,317
고객,282
수사,256
지급,249
지급,249
경찰,242
회장,232
총리,228
브랜드,220
대회,211
공장,208
응급실,206
사이버,204
북한,200
인질,196
구매,185
매출,182
파리,174
지수,168
탄소,164
우크라이나,164
공연,162
네이버,160
네이버,160
네이버,160
저축은행,157
저축은행,157
가스,151
삼성,149
교회,146
백신,138
배출,137
엑스,135
혐의,135
기온,132
드론,132
드론,132
트럼프,129
우주,128
선물,113
롯데,112
독일,111
부동산,109
점검,107
티켓,104
교과서,100
취업,100
제목,92
출산,91
베트남,90
홍보,90
위반,82
박물관,81
인텔,78
체불,77
윤리,75
여가,69
거래소,68
얼굴,67
빈집,66
견우,66
땅콩,65
르노,65
채소,64
근육,62
금투세,55
수석,53
사랑,53
야시장,48
샌드박스,41
토마토,38
애정,30
정산,30
진성,28
정소영,27
김예지,24
카르보나라,23
본능,22
가죽,20
