Topic,Words
1,"교육, 점검, 현장, 방문, 실장, 건강, 명절, 임명, 가까이, 인상"
2,"홍보, 대통령실, 정책, 직무, 출신, 부처, 총괄, 메시지, 사의, 담당"
3,"대통령실, 인사, 중앙, 경찰, 확정, 회의, 진행, 통보, 기자회견, 인정"
4,"대통령실, 직무, 인사, 개월, 통보, 서울, 중앙, 도로, 중인, 혁신"
5,"우주, 발사체, 한화, 기업, 항공, 정부, 공동, 청장, 민간, 마련"
6,"후보자, 국회, 대통령, 임명, 보고서, 요청, 동의, 광주, 윤석열, 인사"
7,"의대, 증원, 대표, 국민, 대통령실, 위원, 최고, 정원, 오전, 수석"
8,"광주, 국립, 재판매, 전시, 아시아, 특별, 윤석열, 금지, 대통령, 센터"
9,"광주, 국립, 재판매, 전시, 아시아, 특별, 윤석열, 금지, 대통령, 센터"
10,"아시아, 광주, 국립, 윤석열, 방문, 대통령, 기자, 부사, 부분, 복합"
11,"아시아, 광주, 국립, 윤석열, 방문, 대통령, 설명, 대한, 기자, 복합"
12,"아시아, 광주, 국립, 윤석열, 방문, 대통령, 뉴스, 기자, 부담, 본부"
13,"아시아, 광주, 국립, 윤석열, 방문, 대통령, 뉴스, 설명, 대한, 기자"
14,"광주, 민생, 디자인, 토론회, 발언, 윤석열, 주제, 미래, 대통령, 문화"
15,"광주, 국립, 아시아, 특별, 윤석열, 방문, 대통령, 센터, 행사, 뉴스"
16,"광주, 국립, 아시아, 특별, 윤석열, 방문, 대통령, 센터, 행사, 뉴스"
17,"광주, 국립, 아시아, 특별, 윤석열, 방문, 대통령, 센터, 행사, 뉴스"
18,"작품, 광주, 참석, 뉴스, 기자, 부담, 복합, 본격, 본부, 본부장"
19,"광주, 촬영, 기념, 참석, 뉴스, 사진, 관계자, 기자, 희생, 본부"
20,"작품, 광주, 참석, 뉴스, 기자, 부담, 복합, 본격, 본부, 본부장"
21,"아시아, 광주, 전달, 기념, 참석, 뉴스, 기자, 희생, 본부장, 복합"
22,"광주, 기념, 참석, 뉴스, 기자, 희생, 부담, 복합, 본격, 본부"
23,"광주, 기념, 참석, 뉴스, 기자, 희생, 부담, 복합, 본격, 본부"
24,"아시아, 광주, 전달, 기념, 참석, 뉴스, 기자, 희생, 본부장, 복합"
25,"광주, 작품, 기념, 오전, 뉴스, 가운데, 기자, 부문, 부분, 복지부"
26,"광주, 기념, 참석, 뉴스, 기자, 희생, 부담, 복합, 본격, 본부"
27,"광주, 작품, 기념, 오전, 뉴스, 가운데, 기자, 부문, 부분, 복지부"
28,"개입, 의혹, 공천, 여사, 보도, 총선, 선거, 김건희, 수사, 민주당"
29,"지급, 대통령, 생활, 윤석열, 추석, 명절, 조기, 대통령실, 인상, 소비"
30,"보고서, 후보자, 대통령, 국회, 임명, 윤석열, 오늘, 요청, 내일, 대한"
31,"의혹, 여사, 김건희, 개입, 총선, 야당, 윤석열, 민주당, 위원, 국회"
32,"대통령실, 직무, 통보, 언론, 인사, 경찰, 대통령, 사실, 적용, 문자"
33,"응급의료, 대통령실, 센터, 별로, 추석, 연합뉴스, 현장, 관리, 관계자, 연휴"
34,"민생, 세계, 토론회, 광주, 개최, 대통령, 주제, 미래, 별로, 중앙"
35,"응급의료, 추석, 대통령실, 비상, 현장, 대책, 사항, 의료, 주간, 대응"
36,"광주, 대통령, 검토, 민생, 적극, 미래, 토론회, 시장, 약속, 대체"
37,"차관, 목회, 국민, 의원, 최고, 모임, 증원, 갈등, 위원, 위원장"
38,"장관, 계엄, 의원, 방문, 후보자, 국방, 모임, 국회, 야당, 국방부"
39,"발의, 국회, 법안, 민주당, 의혹, 의원, 국민, 분석, 부정, 범죄"
40,"의대, 증원, 대표, 개혁, 정원, 의료, 수석, 대통령실, 갈등, 전공"
41,"개혁, 대표, 증원, 의대, 수석, 대통령실, 제안, 요청, 국민, 관계자"
42,"목회, 차관, 국민, 의사, 토론회, 의원, 모임, 정원, 의대, 위원장"
43,"목회, 차관, 토론회, 모임, 의료, 입장, 의사, 의견, 진료, 인식"
