Topic,Frequency
정부,1194
사업,1084
기업,1031
기업,1031
기술,890
서비스,768
중국,758
중국,758
중국,758
병원,745
대통령,725
국민,712
교육,681
교육,681
의원,620
사회,575
일본,554
일본,554
노동,491
국회,467
투자,464
고용,411
플랫폼,402
데이터,383
장관,379
풍선,378
스타,354
금융,326
환자,325
총리,304
전기차,298
삼성,294
삼성,294
부산,278
우주,275
광주,270
이스라엘,257
공항,253
관광,249
대출,246
페이크,243
추석,243
게임,226
인터넷,223
연금,197
디지털,189
여성,187
실장,178
러시아,174
역사,170
선거,169
지수,161
자율,161
네이버,160
기후,159
애플,157
이름,148
교회,148
전공,145
작품,136
배터리,133
실업,133
수익률,130
의대,129
채용,129
세트,125
뮌헨,118
수협,115
디자인,114
기온,112
개인정보,105
교황,99
현대차,99
인수,94
인질,92
렌즈,91
플라스틱,84
노선,80
카지노,79
태풍,75
당뇨병,63
비만,60
해설,59
골프장,54
모드,50
아이폰,50
수산물,50
항공기,43
공주,39
이스라엘군,38
반려동물,37
애니팡,35
투석,33
니엄,31
배드민턴,29
소화기,26
노무사,24
데킬라,22
개관,21
한겨레,21
