Topic,Frequency
대표,1292
한국,1277
중국,1189
중국,1189
중국,1189
중국,1189
미국,1149
사업,1068
기업,880
지역,811
기술,764
개발,617
연구,590
글로벌,589
프로,584
병원,540
병원,540
일본,536
회의,384
모델,350
장관,348
장관,348
레바논,338
공급,337
방송,336
검찰,323
거래,315
게임,300
게임,300
북한,279
수출,265
후보,263
티맵,262
환자,253
소비,246
기온,229
여사,219
클라우드,218
보안,218
클라우드,218
의사,216
주가,206
개인,198
체코,197
체코,197
축제,195
포인트,194
포인트,194
금리,194
금리,194
학생,193
로댕,189
이용자,187
교회,185
트럼프,182
강원,177
우주,159
인구,159
자금,156
네이버,148
기후,139
대출,129
제보,124
고려아연,121
질환,117
책무,116
애플,116
배추,107
간호사,107
에스,102
기금,100
청년,100
아파트,95
전선,95
배달,89
훈련,88
스님,77
얼음,75
동의,67
테스트,66
화성,63
사랑,61
갤럭시,60
부산시,59
산림,55
신세계,49
청약,49
우크라이나,49
전문의,48
유전자,47
공천,47
철거,47
금제,41
조선인,40
우리은행,36
알비노,35
고이즈미,30
대한항공,30
랭보,26
불금,26
