Topic,Frequency
대표,1120
서울,1000
서울,1000
매출,851
매출,851
정부,833
관련,815
한국,765
한국,765
시장,746
기업,736
기업,736
보수,647
교육,619
방송,595
코로나,569
총리,513
총리,513
지역,508
개발,465
제품,456
경찰청,446
금융,435
금융,435
사용,385
광복절,384
문화,378
이스라엘,354
이스라엘,354
운동,326
정책,323
중국,320
중국,320
거래,306
식품,305
건설,300
물가,294
전기차,283
생각,271
카카오,265
카카오,265
카카오,265
증권,253
게임,252
게임,252
배터리,242
러시아,230
데이터,228
브랜드,216
북한,200
교회,199
교회,199
바이오,191
주택,191
안보,177
경기도,174
혁신,173
구글,173
차량,171
혐의,169
보안,168
벤츠,158
엔씨,149
광복회,146
세대,141
자금,140
인플레,128
기후,121
제작,119
일본군,115
기사,114
축제,111
녹조,111
열대야,105
스타벅스,101
의대,90
레바논,86
작가,78
개통,77
할인,76
커피,75
가방,71
여자,67
과장,65
팝업,57
시프트,54
운행,53
나무,48
소액,47
한전,44
넥슨,42
표준,40
켈라,35
달걀,35
재물,30
탈장,26
무라사키,26
쿠팡,26
복원,23
대동,20
