Topic,Words
1,"의료, 대통령, 병원, 필수, 보상, 응급실, 현장, 센터, 진료, 정부"
2,"의료, 대통령, 병원, 권역, 진료, 센터, 응급의료, 현장, 의정부, 보상"
3,"해리스, 대선, 트럼프, 연령, 대통령, 제한, 조사, 결과, 결정, 투표"
4,"의료, 대통령, 응급실, 보상, 소통, 정책, 어려움, 병원, 성모, 의정부"
5,"의료, 대통령, 응급, 의정부, 병원, 현장, 경기도, 필수, 지원, 보상"
6,"의료, 대통령, 진료, 응급실, 응급의료, 방문, 병원, 권역, 성모, 필수"
7,"의료, 대통령, 응급의료, 권역, 병원, 센터, 의정부, 진료, 감사, 보상"
8,"성모, 의정부, 대통령, 의료, 병원, 필수, 권역, 센터, 응급의료, 지원"
9,"의료, 방문, 현장, 대통령, 필수, 격려, 권역, 응급의료, 센터, 대한"
10,"의료, 센터, 대통령, 응급, 응급실, 응급의료, 의정부, 현장, 성모, 방문"
11,"의정부, 응급의료, 점검, 권역, 병원, 윤석열, 방문, 경기, 뉴스, 센터"
12,"의정부, 격려, 권역, 응급의료, 의료, 병원, 윤석열, 방문, 경기, 뉴스"
13,"시설, 예산, 대통령, 의원, 재정, 국회, 강남, 아파트, 금액, 계획"
14,"의료, 응급실, 병원, 대통령, 필수, 인력, 보상, 응급, 경기, 권역"
15,"성모, 의정부, 재판매, 점검, 권역, 응급의료, 경기도, 금지, 병원, 윤석열"
16,"성모, 의정부, 재판매, 점검, 권역, 응급의료, 경기도, 금지, 병원, 윤석열"
17,"성모, 의정부, 재판매, 간담, 점검, 권역, 응급의료, 경기도, 금지, 의료"
18,"의료, 성모, 의정부, 재판매, 응급, 점검, 이동, 권역, 경기도, 금지"
19,"의료, 성모, 의정부, 재판매, 응급, 점검, 이동, 권역, 경기도, 금지"
20,"의정부, 간담, 권역, 응급의료, 경기도, 의견, 의료, 병원, 윤석열, 센터"
21,"의정부, 권역, 응급의료, 인사, 의료, 병원, 윤석열, 방문, 경기, 뉴스"
22,"의정부, 격려, 권역, 응급의료, 의료, 병원, 윤석열, 방문, 경기, 뉴스"
23,"의정부, 간담, 권역, 응급의료, 의료, 병원, 윤석열, 방문, 경기, 뉴스"
24,"의정부, 응급의료, 점검, 권역, 병원, 윤석열, 방문, 경기, 뉴스, 센터"
25,"의정부, 응급의료, 점검, 권역, 병원, 윤석열, 방문, 경기, 뉴스, 센터"
26,"의정부, 권역, 응급의료, 환자, 대화, 병원, 윤석열, 방문, 경기, 뉴스"
27,"의정부, 응급, 권역, 응급의료, 경기도, 의료, 병원, 윤석열, 현장, 센터"
28,"의정부, 응급, 권역, 응급의료, 경기도, 의료, 병원, 윤석열, 현장, 센터"
29,"의정부, 응급, 이야기, 권역, 응급의료, 경기도, 환자, 의료, 윤석열, 현장"
30,"재판매, 응급, 응급실, 이동, 점검, 권역, 경기도, 환자, 금지, 대화"
31,"선물, 의원, 대통령, 조국, 페이스북, 야당, 추석, 혁신, 윤석열, 거부"
32,"대통령, 국민, 연설, 일본, 국회, 사실, 대표, 언급, 마음, 위기"
33,"의료, 대통령, 응급, 방문, 대통령실, 응급실, 병원, 격려, 센터, 보상"
34,"의료, 현장, 방문, 대통령, 응급의료, 필수, 응급, 권역, 대한, 격려"
35,"세트, 추석, 윤석열, 사회, 위해, 대통령, 뷰티, 소재, 소비, 라인"
36,"의료, 대통령, 응급실, 현장, 방문, 센터, 응급의료, 권역, 필수, 격려"
37,"의료, 병원, 대통령, 의정부, 응급의료, 보상, 진료, 응급실, 정부, 증원"
38,"해리스, 대선, 트럼프, 연령, 대통령, 제한, 조사, 결과, 결정, 투표"
39,"공동체, 대통령, 경제, 수사, 가족, 표현, 검찰, 혐의, 관련, 직접"
40,"시설, 예산, 대통령, 의원, 재정, 국회, 강남, 아파트, 금액, 계획"
41,"개혁, 연금, 세대, 정부, 국회, 수급, 민주당, 국민, 차등, 보험료"
42,"선물, 의원, 페이스북, 거부, 조국, 대통령, 혁신, 윤석열, 외교, 야당"
43,"효과, 투자, 지출, 의원, 생각, 재정, 정책, 예산, 작년, 기업"
44,"수용, 민주당, 대표, 추천, 연설, 회복, 국민, 대통령, 약속, 촉구"
45,"예산, 시설, 대통령, 의원, 금액, 과학기술, 국회, 윤석열, 정보, 운용"
46,"장관, 사업, 예산, 관련, 계획, 설명, 지역, 부족, 평가, 부분"
47,"선물, 의원, 대통령, 조국, 페이스북, 야당, 추석, 혁신, 윤석열, 거부"
48,"대통령, 국민, 연설, 일본, 국회, 사실, 대표, 언급, 마음, 위기"
49,"선물, 세트, 추석, 대통령실, 거부, 대통령, 의원, 페이스북, 명절, 전달"
50,"선물, 거부, 의원, 대통령, 조국, 세트, 추석, 페이스북, 윤석열, 대통령실"
51,"연금, 개혁, 소득, 재정, 국민, 정부, 보장, 국회, 여야, 주장"
52,"선물, 의원, 페이스북, 추석, 대통령, 거부, 대통령실, 명절, 사진, 올해"
53,"반도체, 시대, 인텔, 대변인, 국민, 처리, 우리나라, 기업, 산업, 강조"
54,"미래, 의원, 위원회, 개정, 작업, 민주당, 위원장, 대표, 구성, 총장"
55,"선물, 의원, 페이스북, 거부, 대통령, 민주당, 윤석열, 조국, 외교, 야당"
56,"예산, 대통령, 의원, 윤석열, 시설, 운용, 강남, 건물, 아파트, 총리"
57,"대표, 협의, 대화, 기자, 국민, 강조, 여야, 연설, 비상, 여의도"
58,"후보자, 혁신, 후보, 최종, 조국, 선거, 신청, 실시, 의원, 기자"
59,"협의, 기구, 혁신, 국민, 민주당, 국회, 합의, 개혁, 제안, 대표"
60,"의료, 페이스북, 대안, 대표, 민주당, 병원, 통해, 최근, 의사, 정부"
61,"의료, 응급실, 대통령, 현장, 방문, 응급, 응급의료, 상황, 병원, 우려"
62,"여야, 국민, 민주당, 협의, 갈등, 비상, 대표, 대통령, 반응, 촉구"
63,"연금, 소득, 민주당, 국회, 국민, 개혁, 대체, 여야, 논의, 정부"
64,"조국, 후보, 후보자, 선거, 혁신, 최종, 신청, 모집, 시민, 대표"
65,"할인, 추석, 물가, 안정, 가격, 마트, 보이, 본격, 대형, 최대"
66,"선물, 의원, 추석, 거부, 대통령, 조국, 페이스북, 명절, 민주당, 세트"
67,"후보자, 조국, 신청, 혁신, 최종, 결과, 이사, 심사, 운동, 주민"
68,"장관, 의대, 정원, 전공, 보건복지부, 증원, 예산, 라인, 문의, 응급실"
69,"회의, 야당, 전체, 사랑, 역사, 처리, 재정, 지원, 민주당, 위원회"
70,"물풍선, 대남, 풍선, 북한, 쓰레기, 모습, 부양, 중구, 합동, 이동"
71,"재정, 국회, 의원, 위원회, 행정, 심사, 야당, 지원, 활성화, 안전"
72,"대통령실, 연설, 국민, 민주당, 수사, 비판, 현실, 대표, 검사, 대통령"
73,"풍선, 대남, 쓰레기, 북한, 북부, 물풍선, 경기, 부양, 이동, 주의"
74,"미술, 프리즈, 후원, 미술관, 광부, 체육관, 주최, 축제, 국립, 촬영"
75,"미술, 프리즈, 후원, 미술관, 광부, 체육관, 주최, 축제, 국립, 대한민국"
76,"미술관, 체육관, 광부, 미술, 문화, 유인촌, 후원, 주최, 축제, 국립"
77,"체육관, 미술, 광부, 문화, 유인촌, 후원, 미술관, 주최, 축제, 국립"
78,"체육관, 미술, 광부, 문화, 유인촌, 후원, 미술관, 주최, 축제, 국립"
79,"체육관, 미술, 광부, 문화, 유인촌, 후원, 미술관, 주최, 축제, 국립"
80,"외교부, 정상, 방한, 비용, 회의, 예산, 해외, 아프리카, 집행, 상반기"
81,"풍선, 북한, 물풍선, 쓰레기, 대남, 방송, 부양, 가능성, 이동, 북부"
82,"물풍선, 북한, 풍선, 쓰레기, 대남, 모습, 지난, 사진, 이후, 부양"
83,"풍선, 북한, 물풍선, 대남, 쓰레기, 이동, 북부, 변화, 모습, 경기"
84,"대남, 북한, 물풍선, 풍선, 부양, 쓰레기, 이동, 발견, 북부, 이후"
85,"재판매, 금지, 기자, 보고, 본격, 복지, 보호, 보험료, 보험, 보장"
86,"기념, 상원의원, 전쟁, 촬영, 회장, 사업, 서울, 보장, 보이, 보고"
87,"기념, 상원의원, 전쟁, 촬영, 회장, 사업, 서울, 보장, 보이, 보고"
88,"전쟁, 상원의원, 회장, 기념, 사업, 서울, 보도, 보상, 보안, 보유"
89,"총리, 관계, 협력, 양국, 청사, 서울, 정부, 종로구, 발전, 전략"
90,"센터, 주변, 제작, 지역, 관광객, 여행, 쓰레기, 기여, 위치, 바탕"
91,"안전, 교통, 학교, 점검, 위험, 참여, 주변, 합동, 오전, 비롯"
92,"종로, 복지, 맞춤, 조직, 주민, 해소, 혜택, 설립, 종로구, 업무"
93,"종로, 복지, 맞춤, 조직, 주민, 해소, 혜택, 설립, 종로구, 업무"
