Topic,Frequency
대표,1337
대표,1337
대통령,1272
대통령,1272
정부,1223
정부,1223
서울,1137
서울,1137
의료,906
의료,906
기술,841
중국,723
간호,716
양궁,619
서비스,588
서비스,588
제품,525
의원,519
피해,517
국내,490
이사,448
북한,410
북한,410
북한,410
러시아,402
병원,390
학생,388
예산,365
방송,360
우크라이나,340
우크라이나,340
트럼프,338
출시,337
출시,337
상품,284
보안,277
보안,277
게임,275
게임,275
전시,272
오늘,268
사이버,263
이스라엘,259
대출,256
혐의,253
업계,242
채용,237
주민,230
반도체,202
교회,201
브랜드,194
소재,189
모델,187
자산,182
보험,180
신규,177
생산,174
애플,172
체코,167
치료,163
이야기,163
백신,159
통합,149
바이오,144
화재,135
인상,133
롯데,131
음악,130
배터리,127
지수,125
자율,119
마루,109
개인정보,108
배달,107
추석,106
혈압,97
기온,94
내일,93
와인,88
가구,86
로봇,86
항만,81
한우,81
골프,79
시위,70
패럴림픽,61
명상,60
우리은행,57
수소,55
모디,52
치킨,51
메로나,48
훈련병,48
무선,48
담배,48
테슬라,35
저커버그,30
강릉시,22
레지던스,20
녹지,15
