Topic,Frequency
미국,1159
미국,1159
한국,1080
한국,1080
시장,926
기업,853
대표,776
정부,772
개발,713
지역,673
이스라엘,668
체코,597
투자,515
협력,480
피해,479
후보,476
게임,467
게임,467
게임,467
고객,459
고객,459
추진,398
조사,391
일본,380
일본,380
민주당,363
민주당,363
의료,352
유럽,349
금리,348
경찰,346
보상,345
안전,333
가격,329
풍선,298
공급,290
쓰레기,290
제주,279
혁신,267
참석,266
청년,263
배터리,257
운동,241
개인정보,220
주택,214
장애,213
교대,212
고려아연,211
통일,206
인텔,195
클라우드,194
교육감,194
우주,191
수출,186
협회,179
재판,165
교회,160
충돌,155
쌍둥이,144
환자,141
기온,136
전남,135
트럼프,134
동물,134
가구,111
두산,110
여사,106
시니어,103
예산,95
알자지라,95
대회,92
레미콘,91
음악,89
틱톡,87
통화,86
광고,77
치매,75
명상,72
채용,72
명상,72
강수량,69
박물관,66
지진,64
백화점,64
진료,60
명품,59
화성시,57
브라질,56
수온,55
백신,53
무도,45
대웅제약,43
지프,39
편의점,34
낙석,30
저항,29
팟타이,27
숙취,26
디즈니,25
후각,20
