Topic,Frequency
서울,1449
서울,1449
서울,1449
기업,883
기술,789
기술,789
기술,789
장관,760
장관,760
장관,760
장관,760
사업,725
의료,673
의료,673
애플,669
애플,669
의원,662
제공,630
정보,614
대통령,584
교육,582
우주,570
우주,570
추석,465
판매,456
정책,455
정책,455
제품,447
일본,429
대학,346
북한,341
북한,341
가격,317
게임,307
회장,297
대출,284
방송,251
방송,251
브랜드,242
이스라엘,240
평균,239
의사,239
오전,232
유엔,228
중심,226
보도,226
감소,221
화웨이,218
화웨이,218
자살,204
에이,188
전기차,186
반도체,178
이란,177
속도,174
폭염,173
토론,171
자유,169
비만,168
총회,163
축제,155
선수,153
지수,149
배달,143
엔진,143
가맹,138
승계,135
화재,133
화재,133
채용,131
자율,126
골프,121
군사,111
출석,106
검찰,105
이스라엘군,99
몽블랑,93
회생,90
영월,79
임금,78
커피,74
쯔양,72
모집,72
남부,69
스팸,69
매독,65
마약,65
캠페인,63
유니클로,55
융합,53
열사,53
방심위,51
바인더,48
금투세,47
방산,43
교육감,39
백신,37
한우,37
유진,31
동굴,26
