Topic,Words
1,"통일, 광복절, 북한, 대통령, 주민, 기념, 올해, 정부, 제시, 공식"
2,"트럼프, 대통령, 부통령, 해리스, 지사, 후보, 주지, 전략, 매우, 민주당"
3,"통일, 북한, 광복절, 대통령, 기념, 주민, 윤석열, 정부, 제시, 공식"
4,"통일, 자유, 대통령실, 북한, 대통령, 광복절, 평화, 발표, 기념, 정부"
5,"대통령, 장병, 해군, 진해, 안보, 해군기지, 태세, 농구, 족구, 격려"
6,"장병, 대통령, 해군, 휴가, 안보, 격려, 태세, 진해, 대통령실, 국가"
7,"장병, 대통령, 격려, 안보, 휴가, 진해, 해군, 태세, 해군기지, 농구"
8,"대통령, 장병, 진해, 해군, 해군기지, 농구, 기지, 족구, 격려, 경기"
9,"대통령, 장병, 해군, 휴가, 진해, 감사, 면서, 격려, 부대, 생활"
10,"대통령, 장병, 진해, 안보, 체육관, 해군, 휴가, 농구, 기지, 사령부"
11,"장병, 대통령, 진해, 격려, 휴가, 해군기지, 농구, 족구, 해군, 기지"
12,"대통령, 농구, 족구, 기지, 진해, 장병, 체육, 체육관, 사령부, 해군"
13,"기지, 족구, 진해, 장병, 체육관, 사령부, 해군, 해병대, 경남, 휴가"
14,"농구, 장병, 대통령, 족구, 기지, 진해, 체육, 체육관, 사령부, 해군"
15,"장병, 대통령, 농구, 족구, 기지, 진해, 체육, 체육관, 사령부, 해군"
16,"장병, 대통령, 진해, 해군기지, 농구, 휴가, 기지, 체육관, 사령부, 해군"
17,"대통령, 대통령실, 안보, 부산, 해군, 휴가, 해군기지, 태세, 진해, 장병"
18,"장병, 해군, 대통령, 휴가, 안보, 진해, 해병대, 격려, 체육, 태세"
19,"장병, 대통령, 해군, 농구, 휴가, 진해, 윤석열, 대통령실, 해병대, 족구"
20,"장병, 대통령, 해군, 진해, 휴가, 해병대, 안보, 족구, 대한민국, 태세"
21,"장병, 대통령, 해군, 진해, 안보, 응원, 태세, 격려, 부대, 체육"
22,"장병, 대통령, 진해, 해군, 격려, 해군기지, 안보, 족구, 휴가, 태세"
23,"장병, 대통령, 해군, 진해, 격려, 해병대, 안보, 응원, 기지, 사령부"
