Topic,Frequency
사업,1301
대통령,1111
대통령,1111
대통령,1111
대표,993
한국,978
기술,852
기술,852
지원,851
서울,806
지역,805
시장,801
미국,801
국가,730
서비스,712
매출,680
매출,680
개발,627
관리,597
중국,577
거래,577
중국,577
정책,495
올림픽,471
데이터,453
사용,447
방송,427
민주당,381
환경,366
부산,348
노동,342
피해,342
피해,342
피해,342
개선,339
전기차,324
의료,322
이스라엘,319
이스라엘,319
선수,299
게임,276
사이버,261
현장,254
내용,247
선정,239
부통령,236
오전,231
교회,219
교회,219
사고,214
라우,209
연합뉴스,202
금리,200
전역,196
필리핀,187
장애,180
차량,171
계약,170
통일,164
질환,164
검사,150
쿠팡,150
시대,137
검색,131
메일,124
대출,124
작가,123
녹조,122
스님,115
태국,111
축제,108
영국,100
독립기념관,99
외국인,92
분양,91
할인,90
슈가,87
면역,85
전진,80
기밀,75
엔비디아,74
간병,65
철도,63
노인,62
금투세,58
양주,55
빈대,48
배달,48
아이폰,48
시나,47
디즈니,46
농협,40
귀뚜라미,40
휴대폰,38
진로,35
자극,30
실기,30
튀니지,29
해직,27
트램,21
