Topic,DetailedWords
1,"서울, 아파트, 아침, 나라, 낙찰"
2,"문화, 택시, 지능, 누리, 아이디어"
3,"기온, 게임, 대표, 엔씨소프트, 최고"
4,"만화, 한국, 식중독, 검사, 게임"
5,"적립금, 산업, 안마, 의자, 바디"
6,"소득, 노인, 빈곤, 가입, 고령"
7,"데이터, 마이, 호텔, 해외, 주님"
8,"데이터, 센터, 기업, 매출, 시장"
9,"폭염, 마리, 오후, 도로, 남북"
10,"복권, 대표, 지사, 대통령실, 민주당"
11,"주민, 지난, 대해, 이스라엘군, 가격"
12,"대전, 시즌, 성심당, 영화, 디즈니"
13,"화재, 전기차, 차량, 건물, 소방"
14,"기온, 단백질, 모기, 기술, 중국"
15,"회장, 의협, 간호, 위원장, 의료"
16,"서울, 지역, 탄소발자국, 빈집, 사업"
17,"개인정보, 지난, 지진, 일본, 발생"
18,"유튜버, 수입, 독자, 지역, 피부"
19,"트럼프, 캠프, 이란, 폴리, 대통령"
20,"배터리, 전기차, 현대차, 비만, 정보"
21,"금융, 세계, 도박, 청소년, 기업"
22,"경제학, 학기, 중고, 마르크스, 강의"
23,"전기차, 배터리, 일본, 화재, 세계"
24,"체험, 갤럭시, 방문객, 에버랜드, 패밀리"
25,"질환, 배송, 증상, 열사병, 클럽"
26,"플라스틱, 캐리어, 유방암, 품평, 중소기업"
27,"사업, 지원, 전남, 댄스, 가맹"
28,"규제, 스타트업, 사태, 정산, 플랫폼"
29,"강원, 오후, 사고, 병원, 건설"
30,"의원, 지난, 금투세, 도입, 시장"
31,"후보, 대전, 최고, 위원, 지역"
32,"지진, 규모, 마산, 기리, 마리"
33,"우크라이나, 러시아, 공격, 쿠르스크, 미사일"
34,"청소년, 작가, 정맥, 하지정맥류, 혈관"
35,"대통령, 트럼프, 해리스, 대선, 미국"
36,"문화, 강제, 동원, 피해자, 피해"
37,"대응, 기업, 보안, 공격, 사이버"
38,"플랫폼, 매출, 네이버, 서비스, 증가"
39,"이스라엘, 학교, 하마스, 가자지구, 공격"
40,"민주당, 사건, 의원, 국회, 죽음"
41,"의장, 전봉준, 과즙, 미국, 방시혁"
42,"위원장, 세종시, 모빌리티, 의원, 강준"
43,"지원, 사업, 서비스, 장애인, 복지"
44,"준비, 노후, 부담, 중년, 가족"
45,"일본, 지진, 여행, 발생, 취소"
46,"기아, 주행, 하이브리드, 하나님, 적용"
47,"중고, 진단, 삭제, 센터, 유플러스"
48,"수출, 반도체, 자동차, 한국, 개조"
49,"대통령, 사용, 트럼프, 디옹, 유세"
50,"미국, 시장, 상승, 금리, 지수"
51,"반도체, 인도, 웹툰, 도깨비, 박물관"
52,"타이어, 한국, 시술, 미용, 웹케시"
53,"자산, 가상, 양도, 취득, 행사"
54,"올림픽, 파리, 선수, 프랑스, 마라톤"
55,"연금, 수급, 국민연금, 남성, 메달"
56,"의대, 지역, 학생, 지방, 수도권"
57,"세계관, 이용자, 오브, 패스, 자일"
58,"산업, 수소, 전시회, 국내, 국가"
59,"게임, 한국, 매출, 출시, 넷마블"
60,"대출, 금리, 주택, 청약, 인상"
61,"복권, 대통령, 대표, 지사, 사면"
62,"호텔, 패키지, 거래, 서울, 가상"
63,"재물, 라면, 감정, 마카오, 서로"
64,"유튜브, 쇼핑, 여드름, 라이브, 채널"
65,"개발, 기술, 단백질, 신약, 식단"
66,"교육, 준비, 실무, 기자, 취업"
67,"에너지, 한국, 조선, 남북관계, 가장"
68,"대표, 위안부, 조국, 일본군, 참석"
69,"의사, 간호조무사, 간호, 지역, 운동"
70,"풍선, 북한, 쓰레기, 살포, 지난"
71,"전기차, 충전, 화재, 배터리, 충전기"
72,"일본, 도요타, 수면, 지난, 증상"
73,"튀르키예, 인스타그램, 차단, 기자, 청사"
74,"사고, 작업, 선로, 소통, 천경자"
75,"한국, 금메달, 올림픽, 여자, 대회"
76,"대출, 회장, 우리은행, 관련, 인척"
77,"실내, 냉방, 온도, 올인원, 로봇청소기"
78,"디즈니, 콘텐츠, 한국, 공개, 슈라이어"
79,"가격, 기자, 지난, 경기, 폭염"
80,"올림픽, 사업, 선수, 미만, 놀부"
81,"인력, 분류, 고용, 전담, 업무"
82,"지역, 수해, 김정은, 북한, 보도"
83,"추락, 미국, 이사, 결빙, 브라질"
84,"중국, 인도, 한강, 기자, 반포"
85,"투자, 금융, 주식, 펀드, 상품"
86,"코로나, 환자, 한국, 입원, 증가"
87,"지급, 용인, 청소년, 팁스, 스타트업"
88,"코딩, 캠프, 자녀, 안랩, 사람"
89,"자위, 사람, 스키, 수온, 학교"
90,"수달, 유산, 어린이, 자연, 국가"
91,"구글, 워치츠키, 기도, 유튜브, 치료"
92,"검찰, 후보자, 법무부, 대통령, 검찰총장"
93,"축제, 공연, 명창, 무대, 현장"
94,"지원, 공장, 게임, 소방, 기자"
95,"롯데, 나무, 채용, 면세점, 마을"
96,"교회, 목사, 임차, 위해, 하나님"
97,"광복절, 광복회, 정부, 기념, 행사"
98,"게임, 촬영, 내륙, 기술, 최고"
99,"복권, 대표, 지사, 비트코인, 대통령"
100,"와인, 디지털, 랜드, 지역, 챗봇"
