Topic,Words
1,"올림픽, 선수, 대통령, 참가, 파리, 국민, 정말, 지도자, 코리아, 윤석열"
2,"선수, 대통령, 국민, 페이스북, 정말, 코리아, 최선, 참가, 윤석열, 올림픽"
3,"선수, 올림픽, 코리아, 대통령, 참가, 국민, 정말, 파리, 은메달, 동메달"
4,"대선, 대통령, 바이든, 트럼프, 해리스, 면서, 후보, 유세, 미국, 민주당"
5,"방송, 설치, 대통령, 행사, 여당, 야당, 이사, 법안, 추천, 절차"
6,"복권, 지사, 대표, 여권, 주장, 제안, 제한, 사면, 당시, 관계자"
7,"복권, 대통령실, 사면, 의견, 지사, 원내대표, 민주당, 전달, 대표, 교수"
8,"법안, 대통령, 행사, 광복절, 휴가, 복권, 방송, 처리, 요구, 복귀"
9,"복권, 의견, 사면, 반대, 지사, 대통령, 당시, 대표, 권한, 여당"
10,"검찰, 법무부, 후보자, 검찰총장, 수사, 대통령, 지명, 검사, 기획, 사건"
11,"복권, 사면, 지사, 대통령실, 대표, 대통령, 반대, 요청, 입장, 민주당"
12,"검찰, 후보자, 검찰총장, 대통령, 임명, 검사, 윤석열, 지명, 형사, 법무부"
13,"복권, 지사, 대통령실, 사면, 의견, 원내대표, 민주당, 전달, 김경수, 대표"
14,"대통령, 광복절, 요구, 복권, 방송, 국회, 법안, 대행, 휴가, 직무"
15,"경축, 불참, 대통령, 임명, 광복회, 관장, 광복절, 독립기념관, 회장, 대통령실"
16,"대통령, 복권, 대통령실, 휴가, 광복절, 사면, 입장, 김경수, 지사, 방송"
17,"검찰, 후보자, 대통령실, 지명, 졸업, 분류, 형사, 검찰총장, 충남, 용산"
18,"검찰, 후보자, 검찰총장, 형사, 우정, 신임, 법무부, 수행, 대통령실, 주의"
19,"대통령, 정부, 대화, 대통령실, 해외, 선정, 윤석열, 중심, 지난해, 여사"
20,"대통령, 법안, 행사, 방송, 광복절, 대통령실, 휴가, 대한, 야당, 방침"
21,"대통령실, 복권, 사면, 전달, 의견, 지사, 대표, 민주당, 대행, 회의"
22,"검찰, 후보자, 수사, 검찰총장, 여사, 국민, 지명, 최선, 질문, 사건"
23,"후보자, 검찰총장, 법무부, 검찰, 우정, 추천, 차관, 후보, 주의, 대통령"
24,"복권, 지사, 사면, 대표, 대통령, 권한, 반대, 법무부, 여권, 갈등"
25,"전기차, 미국, 지표, 모집, 일본, 사면, 회의, 고용, 금리, 화재"
26,"대통령, 해외, 윤석열, 정부, 대화, 대통령실, 선정, 시설, 중심, 지난해"
27,"지사, 복권, 대통령, 대표, 사면, 대통령실, 통화, 여권, 관계자, 반박"
28,"검찰, 수사, 인사, 대해, 진흥, 임명, 정치, 사실, 대통령, 모습"
29,"복권, 사면, 의견, 지사, 한동훈, 당시, 반대, 여당, 김경수, 대통령"
30,"검찰, 대통령, 검찰총장, 후보, 지명, 우정, 차관, 후보자, 주의, 윤석열"
31,"대통령, 대통령실, 광복절, 복권, 휴가, 국민, 여름, 업무, 경축, 민주당"
32,"지명, 페이스북, 검찰총장, 우정, 차관, 신임, 후보자, 법무부, 윤석열, 대통령"
33,"대통령, 국가, 유산, 연금, 라며, 재단, 등록, 주기, 성명, 주년"
34,"법무부, 기획, 장관, 검사, 검찰, 검찰총장, 차관, 후보자, 윤석열, 형사"
35,"검찰, 법무부, 후보자, 검사, 기획, 검찰총장, 대통령, 형사, 윤석열, 차관"
36,"사건, 민주당, 국회, 여사, 위원회, 의원, 국민, 조사, 여당, 관련"
37,"조국, 혁신, 대표, 의원, 친구, 참석, 사진, 이재명, 인사, 민주당"
38,"복권, 대통령실, 지사, 사면, 대표, 민주당, 요청, 여권, 전달, 이재명"
39,"복권, 위원, 대표, 여당, 지사, 최고, 의견, 사면, 한동훈, 김경수"
40,"차별, 지사, 대표, 복권, 대통령, 당원, 반대, 윤석열, 국민, 갈등"
41,"복권, 지사, 대표, 이재명, 입장, 대통령실, 민주당, 동의, 대선, 요청"
42,"대변인, 역사, 독립기념관, 광복절, 뉴라이트, 임명, 대통령, 관장, 김형석, 부정"
43,"기술, 안보, 대변인, 유출, 국가, 북한, 핵심, 국민, 개정, 수출"
44,"의원, 원내대표, 도입, 의견, 주장, 예정, 관련, 시점, 시행, 반영"
45,"의원, 도입, 민주당, 의견, 원내대표, 주장, 예정, 관련, 대행, 직무"
46,"검찰, 후보자, 검찰총장, 조직, 검사, 법무부, 지명, 중앙, 대통령, 안정"
47,"임명, 광복절, 김형석, 관장, 독립기념관, 불참, 기념, 광복회, 철회, 경축"
48,"복권, 지사, 대표, 권한, 대통령, 후보, 이재명, 사면, 여권, 민주당"
49,"검찰, 수사, 인사, 대해, 페이스북, 진흥, 회의, 의원, 조사, 진행"
50,"복권, 지사, 대표, 여권, 주장, 제안, 제한, 사면, 당시, 관계자"
51,"후보, 투표, 당원, 득표율, 권리, 대전, 위로, 위원, 이재명, 최고"
