Topic,Frequency
시장,1100
기자,1064
기자,1064
사업,1010
사업,1010
한국,995
지역,947
정부,881
대표,827
지원,664
기술,652
매출,616
매출,616
매출,616
대통령,591
방송,589
증가,585
의원,529
글로벌,527
통신,525
의료,478
회의,465
데이터,433
일본,408
일본,408
일본,408
일본,408
올림픽,400
플랫폼,365
부산,361
질환,351
질환,351
제품,349
안전,335
업체,334
이란,314
선수,307
게임,301
게임,301
폭염,297
지사,293
카카오,262
구글,258
경찰,255
하이닉스,229
교회,228
계약,223
방통위,219
방통위,219
공무원,213
장관,201
교수,195
회장,193
북한,192
클라우드,189
주민,187
가구,178
전기차,173
도서관,172
미네소타,169
로봇,168
달러,161
오른,156
감사,153
자동차,142
도시,141
진료,135
체험,135
후보자,128
후보자,128
독일,123
방글라데시,122
목사,120
규제,118
기온,116
롯데,114
개인정보,104
두산,103
백신,103
수출,92
한강,87
환불,81
가사,80
수영,78
한화,77
갤럭시,74
매도,68
신용,68
청소년,65
배달,64
코로나,62
유플러스,57
울릉도,54
플라스틱,50
우산,47
고속도로,43
힐스테이트,42
잡스,41
전통주,23
정차,16
