Topic,Frequency
대표,1331
대통령,1227
대통령,1227
기업,1073
기업,1073
서울,1002
한국,1000
기술,905
기술,905
중국,872
중국,872
사업,841
사업,841
미국,838
지역,821
은행,749
정부,677
정보,644
연구,620
회장,593
서비스,576
위원회,518
이사,506
일본,491
이스라엘,428
평가,418
회의,406
데이터,375
의사,363
감독,352
국회,338
후보,316
대학,290
경찰,286
피해,286
경찰,286
지수,285
대출,277
원장,276
브랜드,272
총회,236
환자,232
합병,220
북한,215
병원,215
위험,209
삼성,207
교통,202
작품,190
기온,190
배달,188
가구,175
증인,158
러시아,155
작가,152
트럼프,148
제철,147
영화,137
식품,134
검찰,130
금투세,122
네이버,116
결제,113
조합,113
금고,111
배추,110
해군,107
수수료,106
고려아연,104
바이든,98
틱톡,98
가상,94
피부,93
우크라이나,92
우크라이나,92
메일,89
클라우드,88
내일,87
요리,75
해양,75
간호,73
휴게소,73
올리브영,66
제목,65
플라스틱,64
취업,60
리츠,56
의료기기,53
테슬라,51
엔비디아,49
카메라,46
정관,46
불상,45
웰비잉,41
금제,39
메가존팝스,34
곽튜브,32
장난감,30
페트라르카,28
켈리,28
