Topic,Words
1,"대통령, 만찬, 원전, 대표, 대통령실, 원내대표, 참석자, 분수, 비서실, 생태계"
2,"대통령실, 대통령, 만찬, 독대, 대표, 용산, 참석자, 자리, 원전, 체코"
3,"도부, 대통령실, 국민, 산책, 분수, 만찬, 추경호, 원내대표, 정원, 용산"
4,"대통령, 간담, 대한민국, 대통령실, 관계, 계기, 용산, 초청, 윤석열, 노력"
5,"대통령, 만찬, 대통령실, 대표, 독대, 도부, 요청, 분수, 국민, 원내대표"
6,"만찬, 대통령, 대통령실, 대표, 독대, 지도, 요청, 국민, 분수, 현안"
7,"만찬, 대통령, 도부, 국민, 대통령실, 독대, 용산, 한동훈, 요청, 대표"
8,"도부, 대통령실, 국민, 분수, 만찬, 추경호, 원내대표, 정원, 초청, 용산"
9,"만찬, 대통령, 대통령실, 대표, 국민, 도부, 독대, 한동훈, 피해, 자리"
10,"만찬, 대통령, 대통령실, 도부, 여당, 대표, 용산, 참석자, 한동훈, 분수"
11,"산책, 분수, 만찬, 도부, 추경호, 원내대표, 정원, 용산, 한동훈, 대통령실"
12,"산책, 분수, 만찬, 도부, 추경호, 원내대표, 정원, 초청, 용산, 한동훈"
13,"목사, 심의, 검찰, 위반, 명품, 혐의, 안건, 변호사, 여사, 수사"
14,"수석, 위원, 최고, 국민, 대통령실, 원내대표, 대통령, 비서실, 대변인, 도부"
15,"대통령, 만찬, 대통령실, 대표, 도부, 독대, 정원, 대화, 사진, 신임"
16,"만찬, 수석, 대통령실, 대표, 도부, 대통령, 원내대표, 용산, 국민, 비서실"
17,"만찬, 대통령, 대표, 대통령실, 자리, 도부, 비서실, 공식, 인사, 원내대표"
18,"도부, 대통령실, 국민, 산책, 분수, 만찬, 추경호, 원내대표, 정원, 용산"
19,"분수, 만찬, 도부, 추경호, 원내대표, 정원, 초청, 용산, 한동훈, 참석자"
20,"분수, 만찬, 도부, 추경호, 원내대표, 정원, 초청, 용산, 한동훈, 참석자"
21,"만찬, 대통령, 도부, 대표, 여당, 대통령실, 분수, 정원, 참석자, 한동훈"
22,"대통령, 대표, 만찬, 독대, 대통령실, 지도, 국민, 요청, 분수, 도부"
23,"대통령실, 만찬, 대통령, 대표, 수석, 분수, 도부, 원내대표, 정원, 참석자"
24,"분수, 만찬, 도부, 추경호, 원내대표, 정원, 용산, 한동훈, 대통령실, 윤석열"
25,"국민, 만찬, 도부, 한동훈, 대통령실, 지도, 분수, 추경호, 원내대표, 정원"
26,"분수, 만찬, 도부, 추경호, 원내대표, 정원, 용산, 한동훈, 대통령실, 윤석열"
27,"분수, 만찬, 도부, 추경호, 원내대표, 정원, 용산, 한동훈, 대통령실, 윤석열"
28,"분수, 만찬, 도부, 추경호, 원내대표, 정원, 용산, 한동훈, 대통령실, 대화"
29,"분수, 만찬, 도부, 추경호, 원내대표, 정원, 용산, 한동훈, 대통령실, 윤석열"
30,"분수, 만찬, 도부, 추경호, 원내대표, 정원, 용산, 한동훈, 대통령실, 윤석열"
31,"도부, 대통령실, 국민, 분수, 만찬, 추경호, 원내대표, 정원, 초청, 용산"
32,"도부, 대통령실, 국민, 분수, 만찬, 추경호, 원내대표, 정원, 초청, 용산"
33,"만찬, 대통령, 대통령실, 대표, 독대, 추석, 신임, 지도, 분수, 이후"
34,"대통령, 체코, 의료, 윤석열, 원전, 건설, 주장, 정부, 얘기, 추진"
35,"이동, 분수, 만찬, 도부, 추경호, 원내대표, 정원, 용산, 초청, 한동훈"
36,"만찬, 대통령실, 도부, 대통령, 독대, 공식, 대표, 용산, 오늘, 자리"
37,"시스템, 업체, 사업, 구축, 진흥, 계약, 정보, 특정, 요구, 조사"
38,"처벌, 법안, 위원회, 허위, 범죄, 의결, 국회, 불법, 심사, 영상"
