Topic,Words
1,"평가, 포인트, 여론조사, 부정, 대통령, 지지율, 응답, 긍정, 최저, 전주"
2,"심위, 여사, 검찰, 사건, 가방, 목사, 처분, 의혹, 혐의, 수사"
3,"트럼프, 우크라이나, 라우스, 대통령, 전쟁, 아버지, 엑스, 대한, 라이언, 암살"
4,"트럼프, 라우스, 우크라이나, 전쟁, 대통령, 체포, 암살, 시도, 지지, 용의자"
5,"거부권, 대통령, 국회, 법안, 행사, 처리, 법률, 이후, 헌법, 방송"
6,"여사, 민심, 장애, 대통령, 김건희, 대변인, 국민, 시설, 센터, 지지율"
7,"여사, 민심, 대통령, 김건희, 장애, 대변인, 윤석열, 국민, 비판, 추석"
8,"구조, 장비, 인력, 장관, 해상, 지시, 최선, 전북, 안전, 대통령"
9,"조사, 응답, 오른, 대통령, 수행, 지난, 여론조사, 평가, 지지율, 의정"
10,"한미, 대통령, 정상, 협력, 윤석열, 북한, 바이든, 체계, 미국, 분야"
11,"여사, 민심, 장애, 대통령, 김건희, 대변인, 거주, 추석, 국민, 시설"
12,"민심, 대통령, 여사, 김건희, 장애, 대변인, 활동, 부부, 방문, 국민"
13,"여사, 센터, 아동, 장애, 지원, 오늘, 시설, 김건희, 부인, 윤석열"
14,"트럼프, 라우스, 우크라이나, 대통령, 전쟁, 암살, 엑스, 지지, 시도, 아버지"
15,"지시, 전북, 긴급, 최선, 오늘, 구조, 대통령, 해상, 대통령실, 문의"
16,"지시, 장관, 구조, 해상, 장비, 인력, 대통령, 전북, 긴급, 대통령실"
17,"조사, 하락, 포인트, 수행, 응답, 평가, 오른, 대통령, 김건희, 여사"
18,"대통령, 페이스북, 여론조사, 지지율, 에너지, 긍정, 출범, 신문, 윤석열, 최저"
19,"트럼프, 대통령, 사건, 용의자, 암살, 호국, 수사, 대선, 시도, 총격"
20,"여사, 대통령, 방문, 센터, 김건희, 장애, 방서, 시설, 행보, 윤석열"
21,"대통령, 직접, 식사, 일본, 음식, 여사, 부인, 윤석열, 대표, 김건희"
22,"포인트, 평가, 하락, 부정, 최저, 지지율, 응답, 긍정, 대통령, 기록"
23,"평가, 대통령, 수행, 하락, 기록, 여론조사, 지지율, 조사, 긍정, 윤석열"
24,"포인트, 여론조사, 지지율, 결과, 기존, 평가, 대통령, 문의, 오른, 긍정"
25,"선거, 자금, 트럼프, 성명, 대통령, 암살, 미국, 내용, 시도, 가방"
26,"트럼프, 우크라이나, 암살, 대통령, 시도, 전쟁, 대선, 용의자, 체포, 단체"
27,"사고, 대통령, 지시, 전북, 윤석열, 구조, 해상, 방서, 대변인, 근무"
