Topic,Frequency
기업,1087
한국,1029
기술,966
기술,966
대표,935
지역,875
기자,833
대통령,813
대통령,813
사업,810
지원,762
의료,635
의료,635
의원,597
장관,533
장관,533
중국,519
중국,519
중국,519
센터,474
사진,462
판매,439
추석,427
부산,419
제품,394
플랫폼,393
북한,379
데이터,362
회사,349
현장,337
보안,305
보안,305
해리스,291
해리스,291
전시,290
애플,282
전기차,274
의대,273
의대,273
합의,269
아이폰,260
사장,255
이스라엘,254
대출,249
보유,232
인도,228
위성,223
협의,222
규제,217
지수,216
교회,210
교회,210
공연,204
대회,202
게임,201
게임,201
금리,194
작가,187
반도체,187
풍선,179
제보,178
아파트,176
주민,172
혐의,168
치료,164
응급실,160
기온,158
예술,158
원전,154
이란,134
로봇,129
동티모르,124
베트남,122
공모,117
충북,111
쿠팡,109
갤럭시,108
학위,104
엔진,102
허가,94
방심위,88
인터파크,86
시리아,81
특검법,74
비만,74
감염,72
정산,70
교육감,69
노선,63
촉각,59
축전,56
이육사,55
배달,52
신협,52
장로,48
디아스포라,47
얼라이언스,42
배당,30
조례,28
마몽드,23
