Topic,Frequency
서울,1147
대통령,885
대통령,885
미국,731
미국,731
미국,731
대표,691
교수,636
정부,578
정부,578
교육,569
중국,506
투자,454
투자,454
사업,452
문제,448
의료,396
북한,392
북한,392
북한,392
의대,381
일본,369
환자,350
인도,348
애플,347
애플,347
민주,302
학교,300
서비스,297
러시아,279
금융,270
사고,264
스타,260
경찰,253
우크라이나,236
대회,232
산업,230
음식,224
의협,209
버스,209
당첨,196
이스라엘,193
이스라엘,193
강원,191
치료,190
게임,181
아파트,174
증권,174
쿠팡,162
지능,159
테슬라,158
축구,155
선수,155
교회,153
영화,142
피부,139
피부,139
생일,136
기온,135
기후,134
축제,125
필리핀,123
필리핀,123
카카오,121
디자인,120
지수,116
주민,114
공연,114
식물,113
전화,103
훈련,95
후티,91
건물,91
부인,89
청년,87
배낭,86
참전용사,85
창업,80
카뮈,79
한광,74
코리아,68
개미,64
텀블러,62
갤럭시,60
홍콩,59
수박,58
클립,54
화물,52
백신,50
자수,49
두드러기,45
대동맥,45
빙수,43
멕시코,42
폭염,42
입찰,37
푸드,37
달리기,35
별세,33
중공업,12
