Topic,Frequency
서울,1177
서울,1177
대표,861
대한,819
시장,757
미국,755
후보,719
후보,719
투자,704
일본,549
일본,549
일본,549
학교,498
중국,471
중국,471
복권,470
전기차,445
올림픽,413
올림픽,413
이스라엘,383
여행,375
문제,372
풍선,363
매출,363
공격,346
배터리,330
민주당,330
게임,318
안전,316
병원,301
지진,279
사고,264
러시아,234
러시아,234
출시,228
주택,223
하락,208
폭염,205
집단,197
세트,197
감소,196
환불,193
주가,188
코로나,186
코로나,186
구글,186
당첨,185
차량,183
보험,182
보험,182
애플,180
주차,176
세대,164
교육청,160
구역,155
처리,155
이란,148
은행,142
전화,129
여성,127
해리스,123
신규,123
수해,120
협상,111
수출,110
낙산사,106
비트코인,105
치킨,103
디즈니,101
뇌졸중,91
주체,91
마리,89
엄마,86
나폴레옹,84
구독,83
워치츠키,82
워치츠키,82
입자,79
법인,78
필리핀,72
소나기,71
메일,69
관장,66
자녀,63
소변,61
쿠르베,56
대한의사협회,53
호선,53
응원,52
간호사,47
호모,43
두피,40
단백질,38
투하,34
이다빈,32
드론,30
국악,29
순대,23
요트,22
교도소,22
