Topic,DetailedWords
1,"교황, 방문, 미국, 스틸, 대통령"
2,"플랜트, 에코, 플러스, 머티리얼즈, 에어"
3,"의원, 대통령, 한미, 동맹, 만찬"
4,"목사, 심의, 수사, 사건, 검찰"
5,"인질, 휴전, 맥퀸, 최종, 미국"
6,"인질, 이스라엘, 시위, 휴전, 텔아비브"
7,"중국, 일본, 미국, 반도체, 정부"
8,"후보자, 계엄, 의원, 국방부, 국민"
9,"협상, 인질, 미국, 대통령, 바이든"
10,"청약, 일본, 잉어, 가상, 도요타"
11,"품질, 국가, 산업, 일본, 조선인"
12,"화재, 물량, 가구, 분양, 전기차"
13,"치료, 개발, 브리, 훈련, 미국"
14,"표준화, 통해, 보호, 모델, 기기"
15,"할인, 상품, 구매, 혜택, 고객"
16,"상품, 스카이라이프, 할인, 오전, 선택"
17,"댄스, 에디, 사랑, 아티스트, 라포"
18,"후보자, 의원, 민주당, 장관, 계엄"
19,"시설, 현장, 도시락, 수용, 울산"
20,"인천, 냉장고, 효옥, 락스, 교통"
21,"바오, 추천, 대표, 가게, 민주당"
22,"라면, 오늘, 재물, 애정, 사람"
23,"내용, 서울, 영상, 중국, 검찰"
24,"제보, 건설, 카카오, 채널, 뉴스"
25,"페이크, 수사, 체인, 블록, 플랫폼"
26,"세트, 선물, 구성, 동원, 추석"
27,"저작물, 경우, 공진단, 노동, 사회"
28,"건설, 지방, 사업, 북한, 발전"
29,"매출, 기록, 우주, 의장, 상속세"
30,"작가, 네이버, 서울, 투어, 매물"
31,"기업, 신앙, 하나님, 성경, 포럼"
32,"수술, 미세, 림프관, 아이폰, 치료"
33,"탈모, 서비스, 어묵, 소설, 제품"
34,"한국, 서울, 호텔, 객실, 중앙회"
35,"매입, 시장, 주택, 신축, 케이"
36,"태풍, 발생, 질문, 대출, 증권"
37,"전형, 학생, 인재, 모집, 선발"
38,"캐딜락, 에스, 레이드, 차량, 독서"
39,"마트, 지원, 대형, 할인, 캐나다"
40,"주행, 대표, 자율, 플랫폼, 정치자금"
41,"병원, 응급실, 진료, 의료, 환자"
42,"서비스, 콘텐츠, 플랫폼, 제공, 메타"
43,"해병대, 훈련, 상륙, 한미, 해군"
44,"사업, 기술, 평가, 산업, 컴퓨팅"
45,"선교, 선교사, 상장, 전문, 공모"
46,"연휴, 진료, 추석, 의료, 정부"
47,"실탄, 경찰, 발견, 쓰레기, 웨어"
48,"생산, 예술, 재개, 일본, 차종"
49,"결제, 서비스, 간편, 납부, 페이"
50,"기사, 국회, 연합뉴스, 카톡, 문의"
51,"에너지, 효율, 사업, 카르보나라, 가전"
52,"학교, 학생, 늘봄, 교육청, 스마트폰"
53,"소방, 공장, 백신, 당국, 피해"
54,"우크라이나, 일본, 포크, 로우스, 러시아군"
55,"시장, 전략, 군수, 추석, 전통"
56,"거래, 아파트, 후보자, 북한, 반응"
57,"판매, 전기차, 판매량, 대비, 감소"
58,"대출, 주택, 증가, 은행, 금리"
59,"플랫폼, 청년, 제일제당, 스낵, 태국"
60,"심사, 시신경염, 시력, 주주, 질환"
61,"대회, 연구, 교수, 국제, 세계"
62,"기업, 직원, 부산, 평가, 관리"
63,"광고, 바나나, 유빈, 우유, 에펠탑"
64,"해운, 에픽, 결승전, 세븐, 이용자"
65,"신고, 상담, 방심위, 페이크, 안내"
66,"기소, 혐의, 서울, 검찰, 참사"
67,"교회, 투자, 교육, 기업, 세대"
68,"보안, 기술, 사이버, 위협, 기업"
69,"매수, 지수, 간송, 미술관, 개미"
70,"후보, 시즌, 일화, 보수, 교육감"
71,"기아, 상담, 고객, 중남미, 체험"
72,"채권, 반려동물, 추심, 사업, 협회"
73,"중국, 캠퍼스, 부산, 플랫폼, 은행"
74,"센터, 문화, 식품, 사업, 지원"
75,"서울, 센터, 피해자, 아파트, 매도"
76,"한겨레, 임금, 인상, 버핏, 투표"
77,"연구원, 채굴, 식품, 게임, 감사"
78,"튀링겐, 독일, 극우, 선거, 정당"
79,"의원, 정부, 총리, 보기, 국민"
80,"교수, 롯데, 수출, 인도, 품목"
81,"트럼프, 사용, 대통령, 혈당, 캠프"
82,"주파수, 할당, 계획, 시술, 손톱"
83,"장관, 일본, 국적, 국회, 위원회"
84,"한국, 진행, 외국인, 채용, 해병대"
85,"가뭄, 단계, 장마, 환경부, 용수"
86,"네이버, 시장, 여행, 국내, 가족"
87,"검사, 우리금융, 금융, 금감원, 정기"
88,"방송, 의견, 진술, 방심위, 영상"
89,"기술, 스마트, 개발, 프로그램, 사업"
90,"교회, 목회자, 치료, 보험, 문화"
91,"회장, 지수, 투자, 한국, 증시"
92,"교육, 환경, 사업, 기관, 협력"
93,"기온, 내일, 명절, 폭염, 오늘"
94,"현대차, 그룹, 회장, 자동차, 공장"
95,"한미, 약품, 이사, 이사회, 대표"
96,"기업, 계약, 저온, 현금, 신도시"
97,"피부, 부문, 양성평등, 사회, 지원"
98,"의료, 국민, 대표, 현장, 위해"
99,"의원, 국회, 혁명, 민주주의, 대표"
100,"호텔, 대통령, 몽골, 계획, 푸틴"
