Topic,Frequency
의원,1054
의원,1054
의원,1054
서울,1040
한국,962
한국,962
시장,784
기업,775
기업,775
기업,775
사업,742
판매,728
의료,713
기술,705
후보,614
병원,593
교육,528
서비스,527
중국,494
중국,494
장관,446
방송,440
한미,424
센터,410
후보자,402
후보자,402
플랫폼,378
학교,372
대출,345
인질,344
인질,344
협상,329
교수,328
회장,304
건설,286
치료,286
매출,256
생산,255
마트,249
상품,242
거래,238
시설,235
내용,234
연휴,224
검사,210
인천,207
대회,187
교회,186
교회,186
네이버,184
할인,171
연구원,169
전형,168
현대차,167
작가,164
결제,154
해병대,151
목사,146
호텔,146
신고,142
기아,140
제보,135
페이크,133
보안,130
기온,124
매입,123
화재,121
에너지,119
라면,113
광고,108
선교,104
기사,100
소방,99
수술,96
태풍,94
교황,93
품질,93
매수,92
트럼프,91
세트,90
주행,85
우크라이나,84
심사,83
플랜트,78
바오,72
피부,70
주파수,69
해운,59
기소,56
실탄,55
청약,55
가뭄,47
한겨레,44
채권,42
댄스,40
캐딜락,37
저작물,33
탈모,29
튀링겐,29
표준화,23
