Topic,Frequency
서울,1432
의료,1321
의료,1321
의료,1321
대표,1293
대표,1293
기자,1279
기자,1279
정부,1052
대통령,1000
사업,705
기술,697
한미,690
한미,690
한미,690
기업,666
의원,620
패션,561
중국,491
정보,487
장관,423
장관,423
이사,412
대비,393
연구,379
페이크,366
은행,360
주택,357
항공,346
수가,338
북한,332
북한,332
발생,330
공개,321
대회,316
교과서,313
민주당,281
가격,279
가격,279
클라우드,274
조정,271
경찰,268
대출,237
대출,237
네이버,230
문화,227
금리,219
우버,216
합의,210
총리,210
이스라엘,208
차관,205
관광,180
엔비디아,173
오늘,166
인권,165
기온,155
우크라이나,144
트럼프,144
태풍,144
검찰,139
의상,138
제보,132
점검,130
서울시,127
성형,124
와인,124
상장,123
공장,119
두산,118
작가,118
박사,117
창업,114
가구,109
독일,106
국채,101
매각,94
방통위,88
접촉,88
로프,87
로프,87
효성,87
국장,85
바이오,84
컨테이너,81
기후,81
연금,77
로봇,76
후보자,75
수단,69
아이폰,68
경고,67
회생,60
원전,58
통증,51
비엔날레,40
노컷뉴스,39
승차권,27
식중독,26
아이돌,19
