Topic,Words
67,"배터리, 등록, 전기차, 조사, 공개, 정보, 상품, 자동차, 차량, 소비자"
68,"대변인, 법안, 민생, 대통령, 재의, 국민, 윤석열, 여야, 민주당, 경제"
69,"의료, 대구, 간담, 의장, 위원, 최고, 의사, 국민, 정책, 사회"
70,"후보자, 신고, 인권, 원장, 신임, 증권, 아파트, 자문, 독립, 법인"
71,"후보자, 신고, 국방부, 명의, 장관, 자녀, 부장, 본부, 안보, 아파트"
72,"의대, 의원, 교육부, 정위, 장관, 배정, 집단, 증원, 청문회, 파기"
73,"세종, 정통부, 취임식, 상임, 재판매, 기자, 대화, 정보통신부, 금지, 과학기술"
74,"실장, 과학기술, 우주, 정책, 전파, 항공, 차관, 상임, 중앙, 혁신"
75,"세종, 취임식, 취임, 상임, 재판매, 정보통신부, 금지, 과학기술, 청사, 장관"
76,"세종, 취임식, 취임, 상임, 재판매, 정보통신부, 금지, 과학기술, 청사, 장관"
77,"세종, 취임식, 취임, 상임, 재판매, 정보통신부, 금지, 과학기술, 청사, 장관"
78,"세종, 취임식, 취임, 상임, 재판매, 정보통신부, 금지, 과학기술, 청사, 장관"
79,"세종, 취임식, 취임, 상임, 재판매, 정보통신부, 금지, 과학기술, 청사, 장관"
80,"세종, 정통부, 취임식, 상임, 재판매, 기자, 대화, 정보통신부, 금지, 과학기술"
81,"세종, 정통부, 취임식, 상임, 재판매, 기자, 대화, 정보통신부, 금지, 과학기술"
82,"이임, 이종호, 재판매, 정보통신부, 세종, 금지, 과학기술, 청사, 장관, 오후"
83,"실장, 과학기술, 우주, 정책, 전파, 항공, 이종호, 차관, 중앙, 혁신"
84,"이임, 이종호, 재판매, 정보통신부, 세종, 금지, 과학기술, 청사, 장관, 오후"
85,"이임, 이종호, 재판매, 정보통신부, 세종, 금지, 과학기술, 청사, 장관, 오후"
86,"청사, 이임, 이종호, 재판매, 정보통신부, 세종, 금지, 과학기술, 장관, 오후"
87,"정비, 설립, 구역, 지정, 절차, 사업, 추진, 주민, 지원, 계획"
88,"홍보, 시장, 사랑, 능력, 출신, 도시, 최선, 프로그램, 더욱, 자리"
89,"주민, 지구, 변경, 기존, 해결, 설치, 시장, 방법, 관리, 문제"
90,"변경, 기존, 관리, 시장, 설립, 전달, 인근, 주민, 수요, 해결"
91,"독립, 축제, 공연, 공원, 대한민국, 프로그램, 의미, 더욱, 방문, 때문"
92,"등록, 신고, 변경, 기간, 사항, 기관, 운영, 사망, 장치, 대한"
93,"서울, 촬영, 기념, 장관, 국가, 오후, 범위, 법안, 법원, 법인"
94,"서울, 장관, 국가, 오후, 보건복지부, 보건, 병원, 별로, 별도, 버스"
95,"서울, 장관, 국가, 오후, 보건복지부, 보건, 병원, 별로, 별도, 버스"
96,"한국, 장관, 경제, 협력, 외교, 능력, 가정, 주년, 추가, 도움"
97,"사업, 관광, 조성, 개발, 경제, 경남, 구역, 추진, 방문, 자유"
98,"의원, 혐의, 건설, 경찰, 요구, 처벌, 광주, 수사, 특정, 대가"
99,"임명, 확정, 질의, 언론, 대통령실, 광복회, 공개, 해당, 부정, 집행"
100,"지정, 신규, 마련, 지원, 사항, 발전, 경제, 논의, 원장, 지속"
