Topic,Frequency
한국,1195
대표,1181
대통령,1178
기업,1044
라인,807
서비스,777
북한,708
의료,694
러시아,690
병원,677
병원,677
병원,677
병원,677
의원,662
푸틴,660
푸틴,660
중국,620
중국,620
중국,620
계획,581
이용,576
게임,549
게임,549
콘텐츠,518
콘텐츠,518
투자,511
위원회,470
현대,466
사람,428
국회,393
플랫폼,389
플랫폼,389
언론,373
보도,319
데이터,299
보안,295
가격,288
증가,288
가격,288
은행,285
현대차,272
관광,268
학생,260
프로그램,250
경찰,240
배터리,238
보험,232
보험,232
노조,229
바이오,224
오늘,221
클라우드,216
클라우드,216
생명,211
안전,211
펀드,196
축제,194
축제,194
기온,186
주택,185
청년,179
행동,169
가맹,169
삼성,164
울산,162
중앙,162
수녀,156
수녀,156
달러,153
제보,144
검사,143
넥슨,140
수소,136
내일,135
조지아주,131
수술,130
이모티콘,130
루마니아,129
소주,120
해양,119
갤럭시,118
물가,116
최저임금,115
최저임금,115
증권,111
미디어,103
피스,94
랍비,90
주사,84
지점,66
출산,58
타이어,54
폐암,52
기초과학,52
다해,49
남산,42
코칭,29
범행,24
오피스텔,23
반점,17
