Topic,Words
1,"피해, 대통령, 주민, 위험, 폭염, 당부, 문의, 최선, 최소, 사전"
2,"부지, 집단, 회장, 재단, 방송, 의협, 혐의, 진료, 재판, 정부"
3,"의료, 개혁, 대통령, 집단, 윤석열, 대통령실, 협의, 정부, 사회, 증원"
4,"조지아주, 켐프, 지사, 발전, 한미, 대통령, 대통령실, 관계, 기여, 동맹"
5,"집단, 의료, 진율, 점검, 위반, 대한의사협회, 행동, 시민, 결과, 오후"
6,"교체, 장관, 차관, 개혁, 대통령실, 정부, 의료, 대상, 관계자, 후보"
7,"조지아주, 켐프, 발전, 지사, 한미, 동맹, 대통령, 대통령실, 한국, 기여"
8,"조지아주, 켐프, 지사, 발전, 대통령, 대통령실, 한미, 기여, 동맹, 협력"
9,"의료, 개혁, 대통령, 집단, 윤석열, 대통령실, 협의, 정부, 사회, 증원"
10,"전남, 광주, 대통령, 부부, 일정, 방문, 마을, 국립, 경남, 주년"
11,"조지아주, 발전, 지사, 켐프, 한미, 동맹, 대통령, 대통령실, 협력, 한국"
12,"선물, 대통령, 직무, 신고, 외국인, 질의, 질문, 처리, 윤석열, 응답"
13,"조지아주, 켐프, 지사, 발전, 한미, 동맹, 대통령, 대통령실, 기여, 협력"
14,"조지아주, 켐프, 지사, 대통령실, 발전, 대통령, 기여, 당부, 진출, 청사"
15,"조지아주, 켐프, 지사, 발전, 한미, 대통령, 대통령실, 기여, 동맹, 한국"
16,"조지아주, 켐프, 지사, 발전, 대통령, 한미, 대통령실, 기여, 기업, 동맹"
17,"조지아주, 켐프, 발전, 지사, 한미, 대통령, 기여, 동맹, 대통령실, 협력"
18,"조지아주, 켐프, 지사, 발전, 한미, 대통령, 동맹, 대통령실, 협력, 기여"
19,"수소, 아시아, 중앙, 국가, 협력, 대통령, 산업, 우리나라, 대한민국, 기업"
20,"조지아주, 켐프, 지사, 발전, 대통령, 기여, 한미, 우호, 관계, 대통령실"
21,"켐프, 조지아주, 발전, 대통령, 지사, 기여, 대통령실, 청사, 윤석열, 한국"
22,"동해, 공사, 한국, 전략, 회의, 매장, 개발, 청사, 가능성, 통상"
23,"켐프, 지사, 대통령실, 청사, 윤석열, 대통령, 미국, 서울, 기자, 변경"
24,"켐프, 지사, 대통령실, 청사, 윤석열, 뉴스, 대통령, 미국, 기자, 변화"
25,"켐프, 지사, 대통령실, 청사, 윤석열, 뉴스, 대통령, 미국, 기자, 변화"
26,"대통령, 대통령실, 정책, 국회, 내각, 관계자, 장관, 상임, 개정, 취지"
27,"켐프, 지사, 대통령실, 청사, 윤석열, 뉴스, 대통령, 미국, 기자, 변화"
28,"켐프, 지사, 대통령실, 청사, 촬영, 윤석열, 기념, 대통령, 미국, 서울"
29,"켐프, 지사, 대통령실, 청사, 윤석열, 대통령, 미국, 서울, 기자, 변경"
30,"조지아주, 켐프, 재판매, 지사, 대통령실, 청사, 금지, 촬영, 윤석열, 기념"
31,"조지아주, 켐프, 재판매, 지사, 대통령실, 청사, 금지, 인사, 윤석열, 대통령"
32,"조지아주, 켐프, 재판매, 지사, 대통령실, 청사, 금지, 윤석열, 대통령, 미국"
