Topic,Frequency
대표,1113
대표,1113
미국,1039
한국,839
기업,738
대통령,724
대통령,724
투자,598
교육,579
통신,575
파리,535
중국,520
이스라엘,498
의원,482
후보,464
후보,464
판매,463
양궁,454
서비스,412
사회,402
금리,386
북한,374
북한,374
북한,374
사용,364
학교,361
기온,348
게임,328
게임,328
휴가,317
장관,282
그룹,260
국회,255
의료,242
김우진,224
경찰,223
경찰,223
질환,222
갤럭시,213
축제,210
하락,208
사고,206
주택,198
자산,196
쇄신,185
환불,178
계약,177
육아휴직,172
작업,164
체험,159
영상,157
광고,154
비서,153
시위,152
엔비디아,151
사직,147
유럽,144
삼성,132
전기차,130
복싱,119
솔루션,117
의대,108
개팀,102
실미도,101
택시,96
원전,94
스쿨,92
스마트폰,89
주석,87
제보,86
뷰티,84
세트,83
화장품,83
통상,80
분양,78
혐의,78
인증,66
고통,66
캐릭터,62
염증,62
커피,57
올리브영,56
과장,56
만화,56
수술,55
자전거,55
해운대,55
미술관,54
엠호프,53
상표,51
후티,49
원담,45
박물관,45
감염병,41
서기장,41
셀트리온,37
하나님,35
오페라,34
펜싱,30
유방암,17
