Topic,DetailedWords
1,"스마트, 디지털, 미국, 강원도, 올해"
2,"임금, 체불, 사업, 시범, 유치원"
3,"광주, 비엔날레, 공항, 사업, 심사"
4,"현대차, 시장, 미국, 회사, 법률"
5,"왓챠, 유플러스, 서비스, 사용, 기술"
6,"상승, 대비, 물가, 전월, 미국"
7,"결제, 재건축, 도파민, 부담, 넥스"
8,"엔씨소프트, 리니지, 침해, 웹젠, 주장"
9,"콘텐츠, 시장, 원전, 성공, 글로벌"
10,"기자, 피해자, 문제, 피해, 때문"
11,"생체인식, 찬양, 인증, 보고서, 하나님"
12,"추석, 기온, 연휴, 내일, 지역"
13,"원자력, 한국, 서울, 점검, 학원"
14,"의료, 환자, 진료, 원자력병원, 병원"
15,"트럼프, 해리스, 토론, 대통령, 총리"
16,"예산, 의회, 사업, 지원, 병원"
17,"화재, 틱톡, 배터리, 작업, 안전"
18,"그룹, 조사, 사망, 신세계, 위험"
19,"성능, 투자, 사회, 버스, 프로"
20,"데이터, 의원, 국회, 대한, 기본"
21,"중국, 연구, 활동, 재킷, 스트레스"
22,"재판, 신청, 이사, 방통위, 치료"
23,"북한, 발사, 중국, 탄도미사일, 훈련"
24,"계열, 접종, 지난해, 연세대, 종로"
25,"인권, 위해, 사업, 원전, 질의"
26,"추석, 연휴, 병원, 응급실, 기간"
27,"뷰티, 브랜드, 제품, 사회, 오전"
28,"은급, 정원, 소형, 목회자, 교회"
29,"협의, 아이폰, 출범, 행사, 단체"
30,"브랜드, 창고, 스토어, 대림, 성수"
31,"그룹, 전기차, 현대차, 판매량, 중국"
32,"조류, 단계, 독일, 단체, 발령"
33,"네이버, 보안, 데이터, 기술, 클라우드"
34,"지원, 의약품, 방사성, 로마, 리미니"
35,"실업, 수당, 청구, 건수, 신규"
36,"공시가격, 부동산, 현실, 시세, 주택"
37,"싱가포르, 교황, 의원, 고려인, 발전"
38,"산업, 포럼, 기술, 통신, 가치"
39,"영풍, 고려아연, 파트너, 경영, 최대"
40,"교회, 중국, 목사, 화포, 드론"
41,"반도체, 인도, 생산, 중국, 디즈니"
42,"협회, 축구, 한국, 중국, 손준호"
43,"선교, 복음, 대회, 로잔, 선교사"
44,"게임, 이용, 질병, 장애, 코드"
45,"의료, 협의, 정부, 참여, 단체"
46,"대표, 위원장, 김종인, 서울, 국민"
47,"고이즈미, 사실, 총리, 환경상, 학폭"
48,"큐텐, 정산, 업체, 싱가포르, 판매"
49,"경북, 공항, 시장, 대구, 대구시"
50,"영화, 부산, 셰프, 베테, 브랜드"
51,"갈비찜, 요리, 서울, 외국인, 이용"
52,"업체, 공사, 일본, 감사원, 확인"
53,"의원, 민주당, 탄핵, 대통령, 야당"
54,"경기도, 오늘, 애정, 계획, 다문화"
55,"산업, 체코, 대통령, 사업, 원전"
56,"지스타, 게임, 부스, 올해, 참여"
57,"대전, 교회, 둔산, 환경, 가정"
58,"학생, 수업, 건강, 장애, 센터"
59,"가구, 장애, 인터넷, 이용, 보상"
60,"의사, 의대, 무인, 의료, 매장"
61,"투자, 검색, 오픈, 카카오, 상장"
62,"학교, 이스라엘, 이스라엘군, 지원, 가자지구"
63,"의원, 취재, 뉴스타파, 대출, 기자"
64,"유한양행, 미국, 존슨, 기술, 프롬스"
65,"협력, 현대차, 회장, 개발, 자동차"
66,"감사, 관저, 태평양, 감사원, 지난"
67,"대출, 주택, 은행, 금융, 시장"
68,"러시아, 페이크, 회의, 대통령, 중국"
69,"주차, 장애인, 시설, 전용, 구역"
70,"부의, 엔비디아, 위원장, 회의, 수여"
71,"북한, 발사, 탄도미사일, 미사일, 삼성"
72,"개인정보, 동의, 정보, 택배, 서비스"
73,"노컷뉴스, 기업, 스위프트, 사이트, 비리"
74,"제품, 사용, 판매, 국내, 치즈"
75,"이사장, 위원, 심의, 화재, 선방"
76,"공연, 앙코르, 관객, 게오르규, 무대"
77,"지원, 의대, 경쟁률, 모집, 대학"
78,"거래, 암표, 공연, 입장권, 재판매"
79,"검찰, 테러, 지난, 치료, 치매"
80,"금리, 포인트, 기준금리, 인하, 정책"
81,"사건, 내용, 사망, 보고, 선고"
82,"중국, 기업, 사업, 일본, 시장"
83,"주민, 환자, 치료, 설명, 한전"
84,"폐지, 통법, 단말기, 통신비, 가계"
85,"마트, 백화점, 수수료, 중소기업, 대형"
86,"마약, 혐의, 투약, 구속, 경찰"
87,"피해, 발전, 베트남, 시드니, 공항"
88,"하이브, 대표, 뉴진스, 멤버, 어도"
89,"개인, 개인정보, 조치, 인터넷, 차단"
90,"사업, 지역, 주택, 춘천시, 환경"
91,"피부, 수색, 농가, 나스, 카르"
92,"우주, 스페이스, 유영, 아이작, 우주선"
93,"사도, 일본, 광산, 유산, 세계"
94,"사고, 치료, 재활, 안전, 어린이"
95,"지역, 지원, 기업, 활성화, 협약"
96,"서비스, 구매, 예측, 펀딩, 철도"
97,"아이폰, 사전, 출시, 러시아, 고객"
98,"상치, 연방, 상회, 관련, 도매"
99,"여사, 혐의, 선고, 주가조작, 재판"
100,"조사, 담당, 관리, 관실, 페루"
