Topic,Frequency
대표,1010
기자,866
사업,833
지원,804
지원,804
우주,792
지역,766
중국,670
중국,670
의원,664
의원,664
추석,640
추석,640
게임,624
서비스,620
의료,590
의료,590
협력,546
산업,496
산업,496
조사,496
제품,442
북한,437
북한,437
개인,405
학교,394
피해,392
금리,377
데이터,372
상승,365
투자,360
업체,357
그룹,347
그룹,347
협의,345
공시가격,336
브랜드,331
현대차,319
학생,301
재판,290
거래,267
러시아,266
공연,247
사건,237
네이버,235
대출,228
감사,226
콘텐츠,222
사고,221
주민,221
의사,210
마트,200
개인정보,196
교회,187
폐지,156
여사,154
인권,154
마약,151
원자력,150
대전,147
피부,147
검찰,139
협회,139
경북,137
가구,134
지스타,132
임금,130
스마트,128
반도체,125
아이폰,118
경기도,115
싱가포르,115
광주,111
화재,108
왓챠,106
영풍,105
하이브,103
트럼프,102
이사장,99
영화,98
큐텐,96
예산,93
성능,85
결제,84
주차,82
뷰티,77
선교,77
실업,74
계열,62
조류,58
사도,52
엔씨소프트,48
부의,44
상치,43
고이즈미,41
갈비찜,38
생체인식,36
유한양행,36
노컷뉴스,28
은급,22
