Topic,Frequency
한국,1130
한국,1130
대표,1043
대표,1043
대표,1043
대표,1043
대표,1043
기업,1040
기업,1040
서울,944
미국,898
지역,877
기술,855
사업,805
중국,801
대통령,725
투자,639
투자,639
게임,634
생산,568
의료,542
의료,542
일본,533
일본,533
사회,495
배터리,437
방송,411
훈련,408
산업,370
데이터,357
학교,345
북한,328
고객,324
혁신,317
부산,311
운동,310
디지털,306
세대,302
대학,301
코로나,298
솔루션,290
경찰,286
매출,276
금리,263
대출,257
작가,256
교회,256
교회,256
러시아,251
작품,243
총리,233
방통위,225
선수,221
사고,199
화재,199
인증,187
혐의,172
증권,170
청년,170
이스라엘,166
맥주,166
복지,164
목사,153
축제,144
상장,141
발견,135
개인정보,121
갤럭시,117
핵무기,115
노조,113
영업,112
전력,109
효성,95
수사,94
기온,94
교토,94
꽃게,88
후보자,88
이사장,77
드론,76
임신,74
대만,74
교과서,68
아프리카,64
당뇨병,60
이스라엘군,54
청약,52
승차권,51
정자,50
이용마,46
아만,46
고혈압,43
화성,41
통장,40
하이퍼,39
모비스,35
외화,27
정관,24
유조선,23
소녀,16
