Topic,Frequency
대표,1297
대표,1297
대표,1297
사업,1171
사업,1171
기업,1119
지원,1069
기술,998
미국,883
간호,826
간호,826
한국,823
대통령,785
중국,727
중국,727
투자,684
병원,678
뉴스,611
서비스,602
산업,587
산업,587
대학,537
교육,535
회의,509
방송,454
페이크,442
의원,436
예산,425
콘텐츠,379
스토어,372
장관,356
사람,354
사람,354
증가,347
간호사,341
이사,322
러시아,321
북한,315
응급실,309
출시,306
증원,300
경찰,286
기능,260
건설,246
전기차,245
포럼,240
가격,226
금리,223
회장,223
바이오,217
통합,212
여성,211
엔비디아,210
관광,204
케이,200
체육,194
오늘,190
트럼프,180
인도,171
보안,170
보안,170
태풍,165
이스라엘,163
우주,156
법안,155
코로나,154
자원,151
방송통신,145
우크라이나,143
작가,140
퇴직,139
선물,138
법인,137
공연,131
소득,127
임대주택,125
채권,122
로프,113
세종,113
주교,109
백신,105
와인,101
트랜지스터,101
한미,91
신세계,90
직스,88
마을,85
기밀,82
기온,60
제련소,57
캐릭터,57
유료,53
루트,50
음료,46
쯔양,45
잠수함,43
권위,41
부실,40
습지,35
두통,22
