Topic,Frequency
사업,1107
대통령,1050
대통령,1050
대통령,1050
대통령,1050
지역,915
대표,864
매출,810
매출,810
매출,810
시장,781
미국,762
지원,677
뉴스,566
교육,519
교육,519
중국,476
중국,476
연구,458
국민,454
북한,415
북한,415
안전,377
방송,376
민주당,371
투자,367
회의,351
제품,346
제품,346
합병,304
충전,290
공급,278
경쟁,256
전공,255
지사,253
이란,251
가격,248
러시아,247
사건,242
총장,242
게임,232
게임,232
게임,232
작업,230
파리,217
운동,215
교회,213
교회,213
브랜드,210
후보자,199
후보자,199
코로나,198
혁신,192
경남,191
부산,190
공사,185
네이버,179
폭염,174
폭염,174
의료,167
데이터,164
건설,163
지수,159
대사,158
반도체,144
나라,143
벤츠,142
애플,140
지정,136
한복,134
한복,134
드론,128
스포츠,124
바이오,121
독립기념관,116
영화,113
예술,113
대북,113
와인,110
로봇,108
광복회,98
의회,96
별내선,95
진로,83
발행,78
슈가,73
등재,69
반려동물,64
일자리,54
극우,49
김주애,48
적조,40
퇴직,39
출입국,38
백내장,34
귀순,28
물고기,27
권씨,25
과즙,20
트림,17
