Topic,Words
1,"여사, 대통령실, 활동, 관계자, 대통령, 의혹, 설치, 제기, 사회, 소방"
2,"대통령, 문재인, 검찰, 여사, 수사, 의혹, 폭염, 추석, 정치, 면서"
3,"대표, 대통령실, 갈등, 대통령, 국민, 의원, 인사, 언론, 소식, 이해"
4,"의료, 정원, 대변인, 정부, 민주당, 책임, 비판, 의정, 인재, 사과"
5,"이구, 서기, 러시아, 평양, 국무위원, 김정은, 위원장, 협력, 전략, 세르게이"
6,"여사, 대통령실, 경찰, 역할, 국민, 관계자, 통화, 목소리, 지난, 서울"
7,"대통령, 검찰, 수사, 의혹, 스타, 추석, 채용, 문재인, 대표, 폭염"
8,"근무, 종로, 교통, 안전, 응급환자, 센터, 달라, 최선, 점검, 격려"
9,"여야, 의정, 협의, 의료, 대통령실, 의대, 입장, 학년, 의사, 대표"
10,"의료, 협의, 정부, 정원, 조정, 접촉, 국민, 입장, 지지율, 의정"
11,"종로, 소방, 격려, 안전, 센터, 오전, 방문, 뉴스, 서울, 기자"
12,"종로, 소방, 촬영, 격려, 기념, 안전, 센터, 오전, 방문, 뉴스"
13,"종로, 소방, 격려, 안전, 센터, 오전, 방문, 뉴스, 서울, 기자"
14,"종로, 소방, 격려, 안전, 센터, 오전, 방문, 뉴스, 서울, 기자"
15,"격려, 종합, 교통, 센터, 오전, 뉴스, 서울, 연휴, 추석, 기자"
16,"종로, 격려, 직원, 오전, 방문, 뉴스, 서울, 연휴, 추석, 기자"
17,"종로, 촬영, 격려, 기념, 직원, 오전, 방문, 뉴스, 서울, 연휴"
18,"대통령, 대통령실, 의료, 연휴, 예정, 원전, 직후, 상황, 지지율, 개혁"
19,"종로, 근무, 교통, 응급환자, 센터, 안전, 이송, 달라, 점검, 격려"
20,"여사, 대통령, 의원, 예방, 지적, 세계, 국민, 행동, 윤석열, 노력"
21,"지지율, 대통령, 대표, 윤석열, 대통령실, 의료, 개혁, 갈등, 여사, 수행"
22,"개혁, 통합, 대통령, 국민, 윤석열, 미래, 공동, 자유, 서로, 문의"
23,"개혁, 의료, 응급의료, 체계, 추석, 주간, 최선, 국민, 연휴, 페이스북"
24,"의원, 대통령, 여당, 최저, 윤석열, 국민, 지지율, 지적, 부정, 정부"
25,"개혁, 총리, 응급의료, 최선, 의료, 체계, 국민, 페이스북, 연휴, 첫날"
26,"선물, 의원, 마음, 명절, 대표, 메시지, 정치, 민주당, 생각, 대통령"
27,"해리스, 부통령, 트럼프, 대통령, 대선, 연방, 미국, 민주당, 카멀, 대학"
28,"응급의료, 의료, 센터, 대통령, 진료, 중앙, 권역, 방문, 연휴, 제도"
29,"의료, 응급의료, 대통령, 현장, 개혁, 센터, 응급실, 권역, 방문, 윤석열"
30,"토론, 대통령, 트럼프, 다시, 부통령, 해리스, 주장, 미국, 내일, 카멀"
31,"윤석열, 대통령, 대통령실, 서울, 기자, 재판매, 금지, 접견, 여사, 응급의료"
32,"교황, 장관, 대사, 비판, 보도, 대통령, 국방부, 메시지, 대선, 조치"
33,"대통령, 개혁, 대통령실, 역사, 평가, 지지율, 정부, 국민, 관계자, 윤석열"
34,"의료, 대통령실, 응급의료, 응급실, 연휴, 비상, 병원, 현장, 개혁, 보고"
35,"통상, 업무, 인사, 차관, 대통령실, 대표, 장관, 어린이, 촬영, 반려견"
36,"응급의료, 대통령, 대통령실, 의료, 추석, 윤석열, 연휴, 의정, 방문, 지지율"
37,"문재인, 대통령, 페이스북, 예방, 민주당, 사람, 희망, 나라, 사랑, 재판매"
