Topic,DetailedWords
1,"기업, 틱톡, 대한, 영상, 수사"
2,"지역, 대응, 기후, 환경부, 장관"
3,"지역, 학생, 동아리, 마약, 글로벌"
4,"시설, 요트, 경기, 갤럭시, 울트라"
5,"서울, 재물, 기자, 오늘, 라면"
6,"의원, 대표, 최고, 위원, 한동훈"
7,"이란, 이스라엘, 공격, 미국, 보복"
8,"매출, 증가, 시장, 영업, 이익"
9,"시위, 위메프, 이스라엘, 지역, 레바논"
10,"직무, 탄핵, 방통위, 위원장, 대행"
11,"지원, 트럭, 가뭄, 달러, 외교부"
12,"의료, 연구, 데이터, 병원, 암호"
13,"서핑, 교회, 주민, 교황, 블루"
14,"체계, 사업, 협력, 지역, 시범"
15,"오전, 별세, 발인, 학습, 장례식"
16,"접종, 백신, 오스트리아, 한국, 보관"
17,"배터리, 카카오, 제조, 치료, 장성"
18,"질환, 치료, 병원, 뇌혈관, 환자"
19,"환불, 여행, 상품, 혈당, 티몬"
20,"이사, 방문진, 임명, 방통위, 방송"
21,"사립, 서울시, 정책, 대학, 엠게임"
22,"전력, 수요, 최대, 폭염, 여름철"
23,"가격, 여행, 인상, 케이, 버거"
24,"경찰, 의원, 사고, 김대중, 매각"
25,"취업, 사직, 전공, 개원, 지원"
26,"작가, 문화, 한국, 체육관, 장관"
27,"오텔로, 오페라, 공연, 무대, 예술의전당"
28,"한국, 데이터, 교통, 대회, 도로공사"
29,"복지, 경남, 정책, 도지사, 행정"
30,"피해, 지원, 제안, 북한, 서울"
31,"후보, 부통령, 해리스, 민주당, 지사"
32,"교회, 이용자, 사태, 증가, 지난달"
33,"투자, 영업, 기업, 매출, 글로벌"
34,"교수, 에너지, 혁신, 시장, 시스템"
35,"인하, 교수, 시겔, 기준금리, 알뜰폰"
36,"증권, 기술, 투자, 선정, 공원"
37,"연구원, 개발, 로우, 스패, 취약점"
38,"금융, 패션, 스타일, 도박, 정보"
39,"현대차, 인증, 중고차, 예배, 센터"
40,"출시, 아이폰, 애플, 세아, 한국"
41,"개정안, 노동, 확대, 막걸리, 헌법"
42,"부동산, 시장, 주식, 일회용, 아파트"
43,"국회, 법안, 대통령, 봉투, 민주당"
44,"선수, 올림픽, 파리, 양궁, 금메달"
45,"질환, 헬프, 오후, 기자, 서울"
46,"파크, 포인트, 아일랜드, 금리, 인하"
47,"적립, 수술, 네이버, 대만, 피부암"
48,"배달, 작가, 지역, 조정, 태백시"
49,"치료, 재발, 하지정맥류, 혈관, 생활"
50,"병원, 청년, 트럼프, 대통령, 부산"
51,"우크라이나, 말리, 스타트업, 현금, 할아버지"
52,"오픈, 기술, 금융, 출시, 생각"
53,"알트, 중국, 지난, 업체, 안전"
54,"이란, 러시아, 이구, 이스라엘, 안보"
55,"비트코인, 가상, 가격, 자산, 화폐"
56,"브라우저, 보안, 사용, 정보, 통해"
57,"지수, 미국, 하락, 거래, 증시"
58,"청년, 식품, 습지, 농업, 방심위"
59,"우크라이나, 러시아, 대표, 전투기, 지원"
60,"배터리, 센터, 정부, 기준, 전기차"
61,"미디어, 모습, 사진, 오징어, 총괄"
62,"믹스, 위메이드, 질환, 대표, 코인"
63,"기업, 기술, 교육, 스타트업, 서비스"
64,"아세안, 번역, 검사, 조합, 원장"
65,"총리, 시위, 방글라데시, 분양, 정부"
66,"북한, 발사, 탄도미사일, 신형, 전술"
67,"연합뉴스, 폭염, 문의, 라인, 카톡"
68,"장관, 서울, 회의, 보건, 고용노동부"
69,"거래, 판매, 델타항공, 주장, 수수료"
70,"중국, 고인, 과학, 미국, 박사"
71,"노조, 개정안, 거부권, 노동, 행사"
72,"독립기념관, 후보자, 추천, 위원회, 후보"
73,"에어컨, 이효석, 작가, 삼성, 문학상"
74,"게임, 개발, 투자, 엔씨소프트, 엔씨"
75,"플랫폼, 종사, 수입, 지원, 교회"
76,"롯데, 멤버, 사용자, 신탁, 기능"
77,"전기차, 화재, 배터리, 아파트, 주차장"
78,"대출, 금리, 인상, 담보, 주택"
79,"방어, 곤충, 영양소, 물질, 야간"
80,"웹툰, 서비스, 플레이, 소장, 패키지"
81,"대통령, 휴가, 통영, 상인, 중앙시장"
82,"트럼프, 대통령, 공화당, 미국, 관광지"
83,"유빈, 고구마, 판매, 에너지, 가구"
84,"검찰, 통신, 건축, 민주당, 대선"
85,"주택, 공사, 부산, 행복, 접수"
86,"에코, 인간, 시티, 나라, 영어"
87,"자율, 기술, 체험, 활용, 선수"
88,"재단, 배달, 한국, 이사장, 기요"
89,"서비스, 추천, 모델, 개발, 고객"
90,"교회, 훈련, 목사, 한국, 양궁"
91,"사이버, 보안, 의무, 건설, 해킹"
92,"오후, 지역, 강원, 소나기, 호우"
93,"엔화, 달러, 환율, 클루, 렉서스"
94,"여름철, 질환, 채용, 교수, 치료"
95,"바일스, 올림픽, 금메달, 대회, 탄소"
96,"액티언, 주택, 이벤트, 물가, 쇼룸"
97,"외국인, 축제, 목사, 교회, 치매"
98,"피부암, 발생, 환자, 세포, 배터리"
99,"가스, 고려대, 건물, 경매, 소방"
100,"통신, 조회, 언론, 검찰, 수사"
