Topic,Frequency
한국,1052
지역,850
대통령,834
대표,811
대표,811
총리,737
사업,647
투자,600
태풍,526
서비스,515
사용,478
의사,471
은행,454
판매,447
의원,431
제품,429
발생,425
북한,418
북한,418
국가,408
게임,384
경찰,358
회장,345
대출,343
유한양행,333
병원,319
평가,301
학교,292
가격,291
간호사,288
포함,288
이스라엘,282
브랜드,278
훈련,277
공급,269
대회,247
사장,234
보안,232
코로나,221
러시아,203
항공,202
수사,196
관세,191
재판,191
작품,180
게이,172
노조,169
바람,167
혐의,161
언론,153
작가,153
바이오,145
커피,144
커피,144
제보,142
트럼프,140
소리,135
대사,133
배달,131
피해자,131
배터리,128
우크라이나,128
연금,126
알라딘,124
모레,123
갤럭시,121
전파,116
모바일,114
전력,113
신부,109
남해,108
드론,105
드론,105
유로,102
상장,98
후보자,97
한인,96
삼성,96
로봇,89
장학금,89
성경,87
이집트,78
티몬,76
학회,76
인슐린,76
플루,67
프레,65
의자,59
녹조,58
기프티콘,57
플러스,56
요금,49
트론,48
골프,43
렉서스,40
사격,39
인터파크,36
트러플,34
마늘,25
마틴,21
