Topic,Words
1,"거부권, 노조, 민주, 방송, 거부"
2,"대통령, 트럼프, 베트남, 미국, 이란"
3,"라면, 두바이, 사람, 재물, 바다"
4,"위스키, 나무, 빗물, 사회, 인프라"
5,"주주, 셀트리온, 합병, 바이오, 의견"
6,"관광, 지역, 낚싯줄, 달이, 야간"
7,"애플, 게임, 앱스토어, 아이폰, 시장"
8,"방송, 청문회, 바나나, 국민, 라며"
9,"작가, 전시, 불닭볶음면, 음식, 여주"
10,"게임, 대표, 기자, 콘텐츠, 아프리카"
11,"강도, 앙헬레스, 대사관, 흉기, 필리핀"
12,"아파트, 서울, 가격, 거래, 상승"
13,"금연, 구역, 유치원, 어린이집, 확대"
14,"열대야, 기온, 지역, 서울, 소나기"
15,"성대, 엔비디아, 목소리, 모델, 음성"
16,"북한, 통일, 성교육, 대해, 내용"
17,"사비, 검증, 사업, 지스, 서비스"
18,"사람, 관계, 사업, 생각, 감정"
19,"당첨, 당첨번호, 번호, 팝업, 로또"
20,"원전, 우크라이나, 호텔, 러시아, 레고랜드"
21,"사고, 경찰, 장원삼, 차량, 장씨"
22,"정상, 회의, 캠프, 대통령, 데이비드"
23,"교육, 지역, 지난, 학생, 카톡"
24,"수술, 백내장, 수정체, 인공, 환자"
25,"서울, 아파트, 물걸레, 로보락, 로봇청소기"
26,"상승, 지수, 테슬라, 엔비디아, 미국"
27,"쿠팡, 광복절, 제일제당, 광복회, 국민"
28,"이스라엘, 가자지구, 공격, 공습, 레바논"
29,"외국인, 의원, 임차, 명동, 야당"
30,"고흐, 그림, 작품, 주민, 센터"
31,"에이치, 웹툰, 관람, 크림, 고객"
32,"해파리, 바다, 제주, 상어, 우주"
33,"부산, 비엔날레, 크래프톤, 미술관, 실적"
34,"이익, 영업, 지난, 시장, 매출"
35,"가지, 나이, 축제, 흑인, 사람"
36,"발레, 주택, 계획, 해리스, 경제"
37,"트럼프, 영어, 켈리, 버스, 프리"
38,"비타민, 섭취, 상품, 권장, 페리"
39,"대응, 사이버, 인터넷, 장관, 위협"
40,"대표, 시장, 관광, 트럭, 정자"
41,"기업, 가자지구, 사망자, 전쟁, 소아마비"
42,"그린벨트, 지구, 서울, 평균, 공급"
43,"질환, 발생, 폭염, 마리, 오후"
44,"핵연료, 작업, 반출, 잔해, 후쿠시마"
45,"맞힌, 주차, 신라, 스테이, 모양"
46,"교육, 전문, 청소, 전남, 곡성"
47,"학생, 평양, 수해, 지역, 북한"
48,"게임, 경북, 구역, 보호, 대비"
49,"가격, 인하, 금값, 미국, 중동"
50,"어린이, 동화, 대회, 고래, 교류"
51,"요금, 태풍, 서울, 혐의, 독도"
52,"가격, 한인, 건물, 대통령, 경제"
53,"러시아, 우크라이나, 사탕, 쿠르스크, 징집"
54,"보안, 서비스, 연구, 모니터, 기술"
55,"티베트, 총리, 판첸라마, 달라이라마, 혈당"
56,"해리스, 트럼프, 부통령, 대통령, 대선"
57,"세트, 호텔, 선물, 명절, 가치"
58,"단백질, 분양, 이노, 식품, 음식"
59,"요로결석, 환자, 통증, 섭취, 경우"
60,"쓰레기, 우크라이나, 해양, 러시아, 공격"
61,"후보, 민주당, 서울, 위원, 당원"
62,"법인, 개인, 사회, 선교사, 역사"
63,"의원, 튀르키예, 의회, 공장, 참가자"
64,"선수, 대통령, 올림픽, 파리, 야구"
65,"코로나, 버스, 환자, 레버리지, 두부"
66,"중국, 항공모함, 보조금, 항모, 정부"
67,"가격, 휘발유, 판매, 하락, 침향"
68,"유성우, 페르세우스, 맥주, 엄마, 협회"
69,"갤럭시, 삼성, 이용, 프리, 라이온즈"
70,"러시아, 우크라이나, 공격, 학원, 학생"
71,"비만, 공연, 브랜드, 연주, 정보"
72,"해병대, 미국, 금메달, 훈련, 중국"
73,"통증, 배당, 치료, 투자, 경우"
74,"카페인, 섭취, 별세, 발인, 장례식"
75,"지구, 탄소, 운석, 칙술루브, 충돌"
76,"일본, 대통령, 윤석열, 차장, 여행"
77,"휴전, 협상, 이스라엘, 중재, 합의"
78,"기후, 로밍, 폭염, 데이터, 행진"
79,"마라톤, 대회, 코스, 완주, 울트라마라톤"
80,"발굴, 유해, 투자, 미국, 국방부"
81,"엠폭스, 확산, 동부, 선포, 세계보건기구"
82,"뉴스, 광복절, 요리, 셰프, 노컷뉴스"
83,"의사, 카카오, 산부인과, 의료, 파루"
84,"시위, 연금, 증가, 일자리, 고용"
85,"애플, 아이폰, 출시, 카드, 동유럽"
86,"화재, 전기차, 배터리, 발생, 차량"
87,"치료, 환자, 의료, 경우, 확산"
88,"대회, 소방, 행사, 순찰차, 마라톤"
89,"행사, 지사, 상품, 와인, 중국"
90,"칼리프, 복싱, 여자, 성별, 혈액"
91,"검색, 구글, 클럽메드, 연구, 사람"
92,"파리, 전공, 마을, 경기, 의료"
93,"주식, 국민연금, 코인, 보유, 비트코인"
94,"은행, 금리, 대출, 교토, 담대"
95,"강도, 아빠, 해수면, 계곡, 말레이시아"
96,"외계, 존재, 인류, 하나님, 예수"
97,"훈련, 베네치아, 생환, 해상, 총리"
98,"예금, 타입, 물놀이, 축제, 중소"
99,"가구, 농업, 일자리, 노인, 채용"
100,"여성, 오늘, 운세, 사람, 생각"
