Topic,Words
1,"개인정보, 손목, 휴가, 캠페인, 개인"
2,"건축, 일자리, 르코르뷔지, 지역, 전국"
3,"매출, 코스, 증가, 맥스, 법인"
4,"감자, 방장, 혈당, 스님, 건강"
5,"이스라엘, 헤즈볼라, 레바논, 보복, 공격"
6,"시장, 금리, 미국, 경기, 지난"
7,"방송, 위원회, 위원장, 위원, 방송통신"
8,"금융, 자금, 채권, 중국, 은행"
9,"사고, 대리, 보험, 할인, 보험료"
10,"데프콘, 세계, 보안, 대회, 클라우드"
11,"교황청, 파롤, 추기경, 사업, 철거"
12,"공간, 택배, 장소, 인간, 담관"
13,"롯데, 삼계탕, 백화점, 부산, 배송"
14,"시장, 싱가포르, 기업, 회장, 분석"
15,"우크라이나, 러시아, 공격, 지역, 쿠르스크"
16,"스케일, 항공, 호텔, 운영, 중단"
17,"배터리, 전기차, 공개, 조사, 탑재"
18,"마리, 폭염, 파라다이스, 호텔, 목사"
19,"지원, 교육, 대학, 혁신, 사업"
20,"폭염, 지역, 그늘, 설치, 마을"
21,"뮤지컬, 잠실, 간호, 공연, 서울"
22,"북한, 지난, 의대, 벤츠, 김정은"
23,"노동, 약자, 데이터, 업체, 피해자"
24,"대한민국, 기념, 디자인, 독립유공자, 주년"
25,"상품, 뉴진스, 크래프톤, 이용자, 환급"
26,"사업, 추진, 병원, 후보, 민주당"
27,"세계, 평화, 한국, 시장, 업체"
28,"작가, 축제, 국제, 서울, 주제"
29,"애니, 공연, 작품, 배우, 뮤지컬"
30,"쿠팡, 중국, 결혼, 상승, 병원"
31,"제보, 뉴스, 올림픽, 검색, 이메일"
32,"대표, 티몬, 위메프, 큐텐, 판매"
33,"셀트리온, 미국, 합병, 위해, 서기장"
34,"구매, 만도, 시스템, 엠로, 프로세스"
35,"방송, 대통령, 민주당, 행사, 거부권"
36,"필러, 교회, 입술, 부문, 예배"
37,"기온, 지역, 열대야, 폭염, 서울"
38,"코로나, 질병, 환자, 유행, 관리"
39,"아이폰, 의대, 공모, 순천대, 유치"
40,"센터, 관악, 학생, 동해, 지역"
41,"유성우, 페르세우스, 관측, 유성, 한국"
42,"빈집, 슬기, 복싱, 상장, 가격"
43,"환자, 치료, 고령, 간암, 해수욕장"
44,"위스키, 계곡, 우체국, 픽업, 테이블"
45,"관장, 독립기념관, 주장, 광복회, 뉴라이트"
46,"반도체, 미국, 공장, 생산, 바이든"
47,"환경, 기후, 사업, 한국, 태풍"
48,"거래, 물류, 채소, 미술관, 활용"
49,"교회, 의료, 국민, 목사, 파리"
50,"치료, 수술, 통증, 무지, 경우"
51,"보드, 리더, 목표, 평가, 주가"
52,"방영, 기적, 시작, 영화, 방송"
53,"대출, 금리, 금융, 증가, 가계"
54,"대통령, 통화, 통신, 수사, 사건"
55,"기업, 사업, 개발, 산업, 공급"
56,"철도, 안전, 기술, 대통령, 지원"
57,"외국인, 정책, 인력, 기업, 고용"
58,"기류, 사고, 러닝, 지난, 항공사"
59,"분양, 예술, 사진, 청약, 중국"
60,"코끼리, 기자, 회장, 부문, 편집"
61,"도발, 작전, 연습, 현장, 경계"
62,"매수, 지난, 자궁경부, 지수, 매도"
63,"매출, 광고, 제주, 대비, 동기"
64,"병기, 낙찰, 성수역, 호선, 바이오"
65,"선수, 금메달, 올림픽, 서울, 파리올림픽"
66,"지수, 증권, 포인트, 올림픽, 마크"
67,"국민, 광복절, 대표, 민주당, 의원"
68,"안보, 외교, 장관, 대통령, 실장"
69,"기술, 제공, 한국, 매장, 사람"
70,"달러, 은행, 러시아, 지폐, 양궁"
71,"박혜정, 플랫폼, 파리, 정보, 구축"
72,"갤럭시, 제품, 플립, 고객, 보상"
73,"주택, 공급, 배드민턴, 협회, 통해"
74,"지진, 일본, 발생, 카이, 뷰티"
75,"병원, 오전, 발인, 별세, 의료"
76,"스킨, 럼피, 농장, 발생, 방역"
77,"방송, 후보자, 정권, 대통령, 윤석열"
78,"전시, 도서관, 러시아, 국립, 본토"
79,"협력, 사업, 치료, 개발, 키르기스스탄"
80,"간호, 간호사, 의료, 위원장, 환자"
81,"건설, 후보, 수입, 환경부, 주민"
82,"매출, 레드, 게임, 넥슨, 시나"
83,"게임, 매출, 크래프톤, 모바일, 개발"
84,"여행, 미국, 소득, 대리모, 스테피"
85,"사업, 서비스, 매출, 이스트소프트, 기존"
86,"휴전, 협상, 여성, 이란, 대통령"
87,"규제, 플랫폼, 교수, 기업, 법안"
88,"클라우드, 사용, 인증, 기자, 생각"
89,"대통령, 만찬, 부부, 원전, 여사"
90,"환급, 세금, 신고, 서비스, 테크"
91,"흉기, 반도체, 어린이, 경찰, 농협"
92,"전력, 수요, 모델, 기록, 사업"
93,"디즈니, 스튜디오, 제목, 중지, 영상"
94,"정부, 진운, 이스라엘군, 학교, 당사자"
95,"예산, 잡초, 제거, 사업, 위험"
96,"미니, 성능, 노트북, 출시, 실행"
97,"카카오, 대표, 모빌리티, 엔씨, 서비스"
98,"재활, 판매량, 비락식혜, 제로, 휴런"
99,"경찰, 혐의, 낙태, 살인, 행위"
100,"관광, 드라마, 한국, 뷰티, 프라다"
