Topic,Frequency
대통령,2465
대통령,2465
사업,985
사업,985
정부,974
대표,864
기업,785
시장,764
시장,764
배터리,631
기술,607
방송,574
방송,574
방송,574
지원,500
세계,491
매출,490
매출,490
매출,490
국민,470
게임,384
병원,381
이스라엘,356
거래,355
지진,350
건설,346
환경,344
환자,344
치료,343
노동,324
안보,308
여행,299
선수,297
센터,297
금융,291
경찰,286
코로나,258
우크라이나,250
전시,236
관광,235
사고,222
협력,222
대출,208
주택,204
상품,200
구매,192
지수,187
관장,181
폭염,178
반도체,172
전력,163
대한민국,158
규제,157
교회,157
공간,154
스킨,146
달러,146
외국인,140
작가,137
카카오,135
북한,128
클라우드,127
간호,122
제보,115
유성우,115
갤럭시,113
개인정보,110
애니,100
뮤지컬,97
매수,96
마리,91
분양,90
기온,88
휴전,87
아이폰,84
롯데,80
철도,76
셀트리온,74
건축,71
예산,70
방영,68
환급,66
데프콘,59
기류,56
디즈니,55
도발,55
흉기,53
병기,51
쿠팡,47
박혜정,47
코끼리,42
보드,42
미니,39
감자,37
필러,30
위스키,30
재활,28
빈집,21
교황청,21
스케일,14
