Topic,Frequency
대표,1455
대표,1455
대통령,1392
서울,1224
서울,1224
국민,1151
국민,1151
교육,987
미국,919
사업,917
사업,917
지원,854
지원,854
기술,794
중국,788
중국,788
의료,761
지역,735
그룹,563
뉴스,539
연금,532
노동,508
제품,497
정책,486
플랫폼,460
페이크,430
페이크,430
협력,403
회장,395
장관,376
증가,359
건강,344
기후,342
교육감,336
교육감,336
전기차,318
현대,313
디지털,312
이스라엘,308
대출,295
사고,277
한화,262
버스,262
교회,249
치료,242
가격,240
클라우드,219
클라우드,219
클라우드,219
네이버,218
검사,216
작품,215
방통위,214
전시,210
개인정보,195
파리,188
간호,185
실적,184
협약,179
두산,178
통일,170
게임,169
매장,163
북한,161
태풍,161
기초,141
협의,140
지란,134
석유,134
해리스,131
교섭,131
영업,121
실업,111
중소기업,106
로프,103
총회,101
세트,93
인터뷰,92
인지,87
벤츠,85
원전,85
펀드,74
실장,73
질환,73
위안,64
스케,64
문학,60
어스,58
꽃게,50
우주비행사,47
연습,41
방사선,38
신와르,35
누룩,32
프랭클린,32
드라마,29
산초,28
안마,27
폴드,26
포유,10
