Topic,Frequency
사업,1089
한국,1000
기자,866
매출,823
매출,823
매출,823
미국,756
교육,730
기업,631
공급,622
서비스,574
대통령,574
북한,563
이사,548
이사,548
올림픽,522
주택,517
영업,506
판매,487
전기차,461
병원,412
지진,402
후보자,399
부산,390
정책,385
카카오,374
이스라엘,363
이스라엘,363
파리,355
민주당,341
은행,315
배터리,312
계약,302
치료,294
행사,294
데이터,284
보험,279
귀순,265
실업,256
교수,252
금리,234
의료,232
질환,230
보안,223
강원,219
사고,216
복권,215
일자리,192
제주,191
인도,173
청년,167
타이어,164
러시아,141
갤럭시,141
러시아,141
관광,140
재단,128
가맹,126
건설,122
모기,121
반도체,112
대행,110
기후,109
예매,108
제보,106
애플,106
교육지원청,103
바이오,101
우주,98
태양,96
매각,95
상담,94
로봇,91
유방,89
교사,88
해리스,86
안랩,86
소나기,83
라면,82
시신,82
베트남,79
물류,79
브라운,69
조류,69
치킨,69
탄소,56
상공,54
바비큐,54
콜센터,45
한컴,44
권익위,40
별내선,39
쿠바,36
가입자,36
루이스,35
와인,30
한우,30
멸균,26
데보션,21
보상금,16
