Topic,Frequency
대통령,1213
대통령,1213
대통령,1213
추석,1010
사단,774
지역,721
대표,686
미국,678
시장,642
병원,495
러시아,443
증가,435
증가,435
투자,410
교육,329
보험,328
보험,328
중국,325
장관,306
금융,297
금융,297
경찰,295
센터,283
아파트,277
음식,272
오후,269
마트,248
북한,243
북한,243
주택,241
주택,241
현대,239
소비,235
데이터,212
모델,187
외무,186
후보,182
애플,182
인하,181
축제,174
건설,171
선물,166
총리,159
작업,157
검색,156
이벤트,156
공급,154
매출,154
인텔,150
전기차,147
여성,145
연극,144
치매,141
부근,130
연금,128
가입,124
인구,107
나무,104
할인,104
출근,101
집행,96
브런슨,92
타이어,92
문학,91
고려아연,88
채석장,82
이스라엘,79
학습,76
미스터리,74
제목,72
노조,71
재건축,69
레이스,68
면세점,65
내일,63
하이브,57
집단,56
태풍,55
콤스,55
하청,54
리츠,52
라우스,51
교과서,48
나은,47
케이블카,44
반려견,43
한의원,43
유로파,42
뷰티,41
탈춤,38
접종,38
연봉,37
연어,34
빙수,34
물체,34
정년,32
배아,25
묘향산,23
알루미늄,21
카본,13
