Topic,Frequency
대통령,1327
대통령,1327
대통령,1327
의료,1208
의료,1208
기업,1082
기업,1082
서울,1076
미국,1007
미국,1007
한국,965
한국,965
시장,835
사업,786
기술,776
기술,776
의대,662
위원,648
서비스,530
대출,483
대출,483
대출,483
교육,446
행사,429
학교,419
학교,419
후보,413
선수,398
민주당,371
부산,355
가격,340
금리,339
총리,325
기능,325
기능,325
이스라엘,316
작품,315
작품,315
풍선,312
북한,305
고객,297
고객,297
단체,287
군의관,266
범죄,264
관광,257
관광,257
협력,247
야기,226
공연,222
사고,217
징계,217
광주,212
스포츠,210
진료,207
우크라이나,205
국방부,199
바이오,197
배터리,193
여사,192
교회,191
그룹,187
중앙,186
아파트,169
기온,151
축제,143
노조,141
토론,140
오늘,139
배달,138
피해자,135
광고,132
실장,132
구글,127
롯데,123
인터넷,123
이란,122
오픈,120
애플,116
집회,114
웹툰,111
게임,106
이스라엘군,103
연료,95
케이스,94
골격계,76
혈관,72
수련,68
교정,67
대만,59
보잉,56
펭귄,54
아이오,48
감염,46
폭포,44
원유,41
옴부,40
비만,37
음모론,33
독도,29
