Topic,Frequency
대통령,1442
대통령,1442
총리,1071
총리,1071
한국,949
일본,936
대표,923
대표,923
대표,923
정부,889
시장,767
시장,767
기업,741
의료,719
기술,656
기술,656
진행,640
지역,637
지원,583
여사,576
병원,543
서비스,478
장관,459
교육,458
연구,408
건강,402
건강,402
한미,393
고용,371
통신,361
판매,353
브랜드,349
안전,318
회장,292
환자,284
혐의,269
광주,268
학교,259
거래,247
대출,245
게임,241
게임,241
일자리,241
주택,240
장애,231
이스라엘,216
배터리,210
경찰,210
반도체,204
의미,198
전기차,196
풍선,190
인도,177
와인,174
수출,169
작가,168
애플,164
애플,164
교회,164
갤럭시,160
갤럭시,160
사고,150
운동,149
혜택,144
국회,139
기온,137
기온,137
인터넷,132
유출,125
통일,115
하락,114
아프리카,109
현대차,106
테슬라,104
매장,99
알자스,86
체육,82
창업,72
사랑,70
노조,69
청약,64
집회,64
인도네시아,63
밀양,58
수수료,54
위스키,49
빗썸,47
교육감,43
틱톡,43
혁명,42
드론,41
뉴라이트,38
열차,37
자동화,37
효경,29
랍스터,28
휴게소,26
특사,21
미디어텍,16
합격자,16
