Topic,DetailedWords
1,"의료, 의대, 협의, 증원, 정부"
2,"체육, 시설, 사업, 브랜드, 네슬레"
3,"장애, 발생, 통신사, 인터넷, 원인"
4,"경찰, 혐의, 수사, 비대, 네이버"
5,"기온, 서울, 최고, 제주도, 대구"
6,"대출, 금융, 관리, 은행, 정부"
7,"기술, 국내, 기업, 거래, 제공"
8,"고용, 증가, 미국, 시장, 실업률"
9,"열차, 조박, 저수지, 한국, 승무원"
10,"주택, 담대, 대출, 제한, 인텔"
11,"일자리, 기업, 채용, 청년, 으뜸"
12,"통신, 평가, 금융, 협약, 신용"
13,"판매, 축제, 행사, 장터, 시장"
14,"국회, 의원, 대통령, 위원장, 국민"
15,"총리, 일본, 대통령, 관계, 문제"
16,"알자스, 와인, 품종, 노블, 포도"
17,"창업, 여성, 행사, 기자, 메밀"
18,"혁명, 당시, 재판, 방해, 선고"
19,"인터넷, 장애, 접속, 무선, 공유기"
20,"총리, 독일, 삼성, 숄츠, 베를린"
21,"대표, 위메이드, 게임, 믹스, 시장"
22,"와인, 포도, 광업, 산업, 장성"
23,"위스키, 루트, 로얄, 작품, 쇼크"
24,"반도체, 최고, 산업, 롯데, 과정"
25,"대표, 고객, 제공, 기업, 서비스"
26,"건강, 보험, 보험료, 동결, 의료"
27,"혐의, 부품, 사업, 교사, 순직"
28,"게임, 반딧불, 헌법소원, 질문, 청구인"
29,"장관, 국방부, 도발, 취임, 위해"
30,"대통령, 트럼프, 해리스, 대선, 미국"
31,"드론, 기도, 사고, 쇼나, 한국"
32,"한미, 약품, 동사장, 북경, 그룹"
33,"미디어텍, 교회, 목사, 칩셋, 유교"
34,"애플, 아이폰, 예산, 뷰티, 프릴"
35,"밀양, 테마, 사업, 지난, 치과"
36,"갤럭시, 기능, 모델, 테슬라, 업데이트"
37,"환자, 판막, 심장, 서울, 교수"
38,"학교, 화재, 학생, 케냐, 사회"
39,"작가, 서울, 피녜, 작품, 축제"
40,"배터리, 전기차, 검사, 시행, 제작사"
41,"사랑, 미국, 센터, 협회, 장애인"
42,"빗썸, 사건, 스포츠, 쿠폰, 자산"
43,"매장, 백미, 백화점, 현대, 브랜드"
44,"교육감, 선거, 후보, 저자, 스코프"
45,"특사, 의료, 환자, 항공, 교육"
46,"애플, 건설, 워치, 교도소, 시니어"
47,"교회, 목사, 사회, 노컷뉴스, 한국"
48,"혜택, 전형, 대통령, 보도, 대통령실"
49,"시장, 수소차, 전통, 수소, 장관"
50,"인도, 게임, 넷마블, 센터, 건강"
51,"대통령, 한일, 총리, 일본, 만찬"
52,"건강, 중증, 감소, 추석, 건강검진"
53,"집회, 민주, 노총, 한일정상회담, 시위"
54,"테슬라, 중국, 로스, 서비스, 유럽"
55,"교육, 푸틴, 범죄, 예방, 금융"
56,"자동화, 에이전트, 유아, 패스, 대학"
57,"일본, 총리, 대통령, 양국, 협력"
58,"인도네시아, 판독, 영상의학, 의료, 지역"
59,"한국, 관광, 지역, 행사, 산업"
60,"전기차, 배터리, 고객, 현대차, 서비스"
61,"기업, 오픈, 시장, 브로드컴, 달러"
62,"뉴라이트, 교과서, 역사, 직원, 사회"
63,"유출, 개인정보, 관련, 정보, 이화여대"
64,"틱톡, 음식, 총재, 윌리엄스, 결제"
65,"연구, 섭취, 생선, 여성, 자폐"
66,"서비스, 쓰레기, 플라스틱, 러시아, 로봇"
67,"노조, 노사, 교섭, 합의, 조합원"
68,"풍선, 북한, 쓰레기, 부양, 지난"
69,"의미, 전문, 보기, 아담, 제품"
70,"안전, 신뢰, 화재, 버스, 관리"
71,"진행, 어비스, 온누리상품권, 신규, 사막"
72,"게임, 조은혜, 팹리스, 산업, 기업"
73,"대표, 치매, 장관, 사이버, 북한"
74,"광주, 비엔날레, 기자, 공원, 개막식"
75,"수수료, 이용, 금액, 젤리, 지급"
76,"지역, 울산, 마사지, 폐광, 공동"
77,"갤럭시, 코퍼레이션, 정보보호, 제품, 리얼"
78,"여사, 심위, 김건희, 검찰, 심의"
79,"청약, 노후, 계획도시, 제보, 대전"
80,"운동, 산소, 약국, 검색, 서비스"
81,"기술, 병원, 봉생, 애니팡, 연휴"
82,"랍스터, 롯데, 우크라이나, 장관, 월드"
83,"회장, 한낮, 총회, 플레이, 주식"
84,"브랜드, 뷰티, 페스, 행사, 고객"
85,"시장, 중국, 애플, 대비, 올해"
86,"통일, 대회, 미래, 북한, 카이트보딩"
87,"합격자, 전형, 시설, 서류, 우주"
88,"정부, 연금, 개혁, 보험료, 경우"
89,"이스라엘, 가자지구, 이스라엘군, 하마스, 인질"
90,"병원, 응급실, 군의관, 진료, 파견"
91,"휴게소, 공인, 소상, 위원, 정책"
92,"현대차, 서울, 기자, 행사, 여행"
93,"사고, 음악, 여성, 폭죽, 관객"
94,"효경, 패럴림픽, 개인정보, 펜싱, 관리"
95,"기온, 소나기, 내일, 서울, 주말"
96,"지원, 사업, 기업, 교육, 위해"
97,"아프리카, 중국, 내용, 오늘, 국가"
98,"하락, 비트코인, 환자, 평가, 가격"
99,"거래, 가구, 아파트, 사업, 서울"
100,"수출, 장비, 네덜란드, 미국, 반도체"
