Topic,Words
1,"대피, 회의, 한덕수, 총리, 위험, 호우, 상황, 안전, 비상, 국무총리"
2,"체코, 대통령, 차관, 환송, 여사, 김건희, 내외, 대사, 부부, 페트"
3,"국민, 대통령, 대표, 정부, 국회, 역시, 윤석열, 한동훈, 평가, 갈등"
4,"체코, 대통령, 방문, 원전, 최종, 건설, 여사, 김건희, 관계, 차관"
5,"도서관, 국립, 체코, 방문, 윤석열, 조수정, 여사, 대통령, 공식, 김건희"
6,"체코, 조수정, 대통령, 바츨라프, 호기, 공군, 하벨, 국제공항, 탑승, 프라하"
7,"체코, 대통령, 공식, 방문, 내외, 대사, 페트, 원전, 주년, 귀국"
8,"인사, 조수정, 환송, 탑승, 바츨라프, 호기, 하벨, 공군, 국제공항, 부인"
9,"인사, 조수정, 환송, 탑승, 바츨라프, 호기, 하벨, 공군, 국제공항, 부인"
10,"대통령, 조수정, 환송, 탑승, 바츨라프, 호기, 공군, 하벨, 국제공항, 전달"
11,"인사, 조수정, 환송, 탑승, 바츨라프, 호기, 하벨, 공군, 국제공항, 부인"
12,"인사, 조수정, 환송, 탑승, 바츨라프, 호기, 하벨, 공군, 국제공항, 부인"
13,"인사, 조수정, 환송, 탑승, 바츨라프, 호기, 하벨, 공군, 국제공항, 부인"
14,"인사, 조수정, 환송, 탑승, 바츨라프, 호기, 하벨, 공군, 국제공항, 여사"
15,"인사, 조수정, 환송, 탑승, 바츨라프, 호기, 하벨, 공군, 국제공항, 부인"
16,"인사, 조수정, 환송, 탑승, 바츨라프, 호기, 하벨, 공군, 국제공항, 부인"
17,"대통령, 조수정, 환송, 탑승, 바츨라프, 호기, 공군, 하벨, 국제공항, 전달"
18,"체코, 차관, 조수정, 환송, 바츨라프, 호기, 하벨, 공군, 국제공항, 부인"
19,"인사, 조수정, 환송, 탑승, 바츨라프, 호기, 하벨, 공군, 국제공항, 부인"
20,"체코, 대통령, 여사, 차관, 내외, 대사, 환송, 부부, 페트, 방문"
21,"원전, 체코, 양국, 협력, 대통령, 산업, 체결, 방문, 전략, 한국"
22,"마무리, 귀국, 제보, 부인, 여사, 김건희, 체코, 일정, 윤석열, 대통령"
23,"체코, 대통령, 차관, 환송, 부부, 방문, 여사, 김건희, 일정, 윤석열"
24,"체코, 대통령, 양국, 협력, 여사, 원전, 대화, 차관, 분야, 부부"
25,"체코, 원전, 대통령, 양국, 협력, 방문, 알라, 공식, 회장, 총리"
26,"원전, 대통령, 체코, 전용기, 호기, 공군, 프라하, 귀국, 사업, 바츨라프"
27,"조수정, 탑승, 바츨라프, 호기, 하벨, 공군, 국제공항, 부인, 여사, 프라하"
28,"조수정, 탑승, 바츨라프, 호기, 하벨, 공군, 국제공항, 부인, 여사, 프라하"
29,"조수정, 탑승, 바츨라프, 호기, 하벨, 공군, 국제공항, 부인, 여사, 프라하"
30,"조수정, 탑승, 바츨라프, 호기, 하벨, 공군, 국제공항, 부인, 여사, 프라하"
31,"조수정, 탑승, 바츨라프, 호기, 공군, 하벨, 국제공항, 프라하, 인사, 체코"
32,"조수정, 탑승, 바츨라프, 호기, 하벨, 공군, 국제공항, 부인, 여사, 프라하"
33,"대통령, 체코, 여사, 양국, 프라하, 차관, 내외, 대사, 알라, 페트"
34,"체코, 대통령, 페트, 호기, 공군, 일정, 윤석열, 공식, 방문, 도착"
35,"조수정, 탑승, 바츨라프, 호기, 하벨, 공군, 국제공항, 부인, 여사, 프라하"
36,"조수정, 탑승, 바츨라프, 호기, 하벨, 공군, 국제공항, 부인, 여사, 프라하"
37,"정원, 의대, 논의, 대표, 국민, 대통령, 한동훈, 조정, 입장, 윤석열"
38,"연구원, 기관, 정책, 연구, 의원, 정부, 소속, 정치, 민주당, 산업"
39,"국민, 대통령, 대표, 정부, 국회, 역시, 윤석열, 한동훈, 평가, 갈등"
40,"혁신, 회의, 대표, 민주당, 의원, 공동, 민주, 전국, 최고, 검찰"
41,"혁신, 회의, 공동, 대표, 위원회, 국회, 의원, 민주당, 병원, 민주"
42,"공천, 국민, 민주당, 한동훈, 개입, 대변인, 의혹, 원칙, 과거, 먼저"
43,"공천, 개입, 대변인, 국민, 한동훈, 여사, 의혹, 민주당, 의원, 김건희"
44,"공천, 개입, 국민, 한동훈, 의혹, 여사, 민주당, 대변인, 과거, 김건희"
45,"공천, 국민, 개입, 대변인, 여사, 민주당, 의혹, 한동훈, 대통령, 김건희"
46,"근무, 응급실, 연휴, 추석, 전문의, 응답, 정부, 환자, 능력, 수행"
47,"대피, 위험, 회의, 총리, 호우, 한덕수, 기상청, 조치, 보고, 주민"
48,"공천, 국민, 한동훈, 개입, 대변인, 민주당, 의혹, 원칙, 당시, 논란"
49,"공천, 한동훈, 국민, 개입, 대변인, 여사, 의혹, 민주당, 의원, 김건희"
50,"공천, 원칙, 국민, 개입, 대변인, 라며, 과거, 민주당, 여사, 김건희"
51,"검찰, 정치, 민주당, 혐의, 국민, 법원, 대표, 라며, 대변인, 처벌"
52,"폐지, 금투세, 투자자, 민주당, 주식, 촉구, 라며, 대표, 압박, 회원"
53,"검찰, 정치, 법원, 민주당, 대표, 국민, 대변인, 위반, 판단, 시스템"
54,"혁신, 조직, 회의, 대표, 의원, 전환, 민주당, 정책, 민주, 위원"
55,"폐지, 금투세, 투자자, 민주당, 대변인, 라며, 주식, 촉구, 대표, 회원"
56,"금투세, 폐지, 투자자, 민주당, 대변인, 청년, 입장, 주식, 시행, 오늘"
57,"대표, 대처, 강풍, 국회, 안전, 폭우, 전국, 피해, 혁신, 인천"
58,"청년, 오늘, 한동훈, 국민, 대표, 미래, 전문, 마음, 거나, 위해"
59,"금투세, 폐지, 민주당, 투자자, 시행, 위원, 국민, 대표, 대변인, 최고"
60,"금투세, 폐지, 투자자, 민주당, 대변인, 입장, 국민, 청년, 라며, 강조"
61,"재난, 비상, 안전, 집중호우, 근무, 관계, 호우, 피해, 실시, 대책"
62,"금투세, 폐지, 민주당, 투자자, 라며, 대변인, 국회, 시행, 대표, 의원"
63,"금투세, 민주당, 폐지, 시행, 투자자, 국민, 대표, 압박, 대변인, 의원"
64,"금투세, 폐지, 위원, 민주당, 최고, 대변인, 투자자, 대표, 라며, 입장"
65,"상황, 서울, 한덕수, 국무총리, 청사, 종로구, 대처, 자료, 점검, 호우"
66,"상황, 서울, 한덕수, 국무총리, 청사, 종로구, 대처, 자료, 점검, 호우"
67,"상황, 서울, 한덕수, 국무총리, 청사, 종로구, 대처, 자료, 점검, 호우"
68,"상황, 서울, 한덕수, 국무총리, 청사, 종로구, 대처, 점검, 참석, 호우"
69,"상황, 서울, 한덕수, 국무총리, 청사, 종로구, 대처, 점검, 호우, 회의"
70,"상황, 서울, 한덕수, 국무총리, 청사, 종로구, 대처, 점검, 참석, 호우"
71,"대처, 상황, 호우, 서울, 한덕수, 국무총리, 청사, 종로구, 점검, 보고"
72,"상황, 서울, 한덕수, 국무총리, 청사, 종로구, 대처, 점검, 호우, 회의"
73,"대피, 회의, 한덕수, 총리, 위험, 호우, 상황, 안전, 비상, 국무총리"
74,"충남, 경남, 피해, 침수, 충북, 호우, 전남, 부산, 도로, 발생"
75,"정상, 쿼드, 회의, 바이든, 당국자, 미국, 인도, 태평양, 북한, 도발"
76,"대피, 총리, 호우, 기상청, 적극, 경남, 기관, 조치, 보고, 위험"
77,"정상, 쿼드, 회의, 바이든, 북한, 미국, 도발, 당국자, 대통령, 인도"
78,"서울, 한덕수, 국무총리, 추상, 청사, 종로구, 대처, 점검, 참석, 호우"
79,"서울, 한덕수, 국무총리, 추상, 청사, 종로구, 대처, 점검, 참석, 호우"
80,"서울, 한덕수, 국무총리, 추상, 청사, 종로구, 대처, 점검, 참석, 호우"
81,"서울, 한덕수, 국무총리, 추상, 청사, 종로구, 대처, 점검, 호우, 회의"
82,"서울, 한덕수, 국무총리, 추상, 청사, 종로구, 대처, 점검, 호우, 회의"
83,"서울, 한덕수, 국무총리, 추상, 청사, 종로구, 대처, 점검, 호우, 회의"
84,"서울, 한덕수, 국무총리, 추상, 청사, 종로구, 대처, 점검, 호우, 회의"
85,"서울, 한덕수, 국무총리, 추상, 청사, 종로구, 대처, 점검, 호우, 회의"
86,"서울, 한덕수, 국무총리, 추상, 청사, 종로구, 대처, 점검, 호우, 회의"
87,"서울, 한덕수, 국무총리, 추상, 청사, 종로구, 대처, 점검, 호우, 회의"
88,"서울, 한덕수, 국무총리, 추상, 청사, 종로구, 대처, 점검, 호우, 회의"
89,"상황, 서울, 추상, 기상, 청사, 종로구, 대처, 점검, 호우, 회의"
90,"상황, 서울, 추상, 기상, 청사, 종로구, 대처, 점검, 호우, 회의"
91,"상황, 서울, 추상, 청사, 종로구, 대처, 점검, 호우, 회의, 정부"
92,"상황, 서울, 추상, 기상, 청사, 종로구, 대처, 점검, 호우, 회의"
93,"창업, 투자, 기업, 수도권, 경남, 투자자, 모집, 사업, 참여, 운영"
94,"청년, 차관, 공원, 마을, 재판매, 행사, 금지, 관계자, 방문, 서울"
95,"청년, 차관, 공원, 촬영, 마을, 기념, 재판매, 행사, 금지, 관계자"
96,"집중호우, 점검, 기관, 재판매, 대응, 장관, 관계, 금지, 방문, 상황"
97,"집중호우, 점검, 기관, 재판매, 대응, 장관, 관계, 금지, 방문, 상황"
98,"집중호우, 점검, 기관, 재판매, 대응, 장관, 관계, 금지, 방문, 상황"
99,"통일, 김정은, 시장, 충북, 면서, 주장, 민주, 평화, 적대, 선언"
100,"점검, 경남, 재난, 현장, 대응, 호우, 침수, 조치, 긴급, 산사태"
