Topic,Frequency
체코,1825
체코,1825
협력,1296
기술,1086
대통령,1023
대표,956
사업,921
사업,921
기업,864
연구,772
지역,686
중국,567
중국,567
아이폰,518
아이폰,518
이스라엘,501
이스라엘,501
교육,490
교육,490
사회,459
문제,439
발생,365
수소,361
사람,360
일본,334
통신,326
의원,325
의사,308
애플,307
피해,306
북한,302
치료,299
통일,296
모델,280
언론,275
시스템,272
스님,266
금리,258
사실,258
연합뉴스,240
후보,238
해외,235
플랫폼,229
청약,219
사고,216
게임,209
전시,200
부원장,198
간호,197
블록,196
위기,177
쌍둥이,175
주민,171
호우,165
매출,163
청년,158
자산,154
제보,154
포스,152
이익,147
부산,142
과장,142
과장,142
공장,142
응급실,127
버스,124
월드,122
명상,120
반도체,118
배달,118
일자리,112
거짓,111
지수,109
우크라이나,106
동의,94
체인,92
하이닉스,91
스포츠,88
경쟁률,87
비행,77
소방,76
구역,74
로잔,72
코끼리,71
퇴직,70
네트워크,70
사업자,65
마리,59
교황,56
조선일보,55
박물관,54
발인,49
방통위,43
포르쉐,41
비만,39
뇌졸중,38
명품,30
테이프,27
필리핀,27
셰프,24
