Topic,Words
1,"애플, 아이폰, 출시, 인텔리전스, 기능"
2,"중국, 캠벨, 러시아, 북한, 장관"
3,"뷰티, 피알, 에이, 홍콩, 한국"
4,"타이어, 중국, 공급, 일본인, 넥센"
5,"베트남, 해저케이블, 지난, 기업, 석회"
6,"서울, 고려아연, 뉴스, 기자, 정부"
7,"최대, 주주, 변경, 그룹, 심사"
8,"전시, 프로젝트, 스튜디오, 신작, 부스"
9,"출연, 포스코, 재단, 토마토, 강제"
10,"주행, 차량, 자율, 웨이, 대통령"
11,"지역, 탄수화물, 울산, 캠핑, 포스텍"
12,"시빅, 예산안, 보헤미아, 의장, 민주당"
13,"사용, 유튜브, 가장, 네이버, 카카오"
14,"교수, 부문, 명예, 수상자, 서울대"
15,"노트북, 사용, 컴퓨터, 배터리, 호가"
16,"미래에셋, 한국, 증권, 염증, 글로벌"
17,"수입, 전기차, 임신, 중국산, 음악"
18,"축제, 공연, 광주, 문화, 공원"
19,"훈민정음, 결제, 애니메이션, 체코, 훈련"
20,"병원, 세계, 치료, 분야, 학회"
21,"결제, 제공, 콘텐츠, 서비스, 고객"
22,"주택, 대출, 은행, 발생, 담보"
23,"대통령, 신당, 개혁, 생맥주, 배우자"
24,"청년, 방한, 커피, 방문, 음식"
25,"포항, 자립, 서명숙, 올레, 둘레길"
26,"게임, 미국, 화상, 퍼플, 환자"
27,"디지털, 혁신, 플랫폼, 솔루션, 제조"
28,"교육, 대상, 플랫폼, 창의, 학생"
29,"정보, 시스템, 유방, 관리, 장애"
30,"접종, 예방접종, 무료, 김치, 독감"
31,"전형, 선발, 인재, 학생, 학과"
32,"금리, 인하, 미국, 기준금리, 연방"
33,"공시, 기업, 의견, 기준, 관련"
34,"취업, 해외, 국내, 통해, 트럭"
35,"결핵, 잠복, 감염, 치료, 예방"
36,"사업, 개발, 기술, 기관, 발전"
37,"대표, 협의, 국민, 해양, 의료"
38,"사막, 중국, 모시, 사전, 자살"
39,"변호사, 참가자, 보험, 쿼크, 입자"
40,"교회, 세계, 복음, 선교, 목사"
41,"유엔, 거버넌스, 자문, 인공, 기구"
42,"의원, 미국, 총리, 신고, 북한"
43,"무전기, 폭발, 혐의, 통신, 아이콤"
44,"유튜브, 사용, 양인, 기술, 복시"
45,"체코, 대통령, 원전, 협력, 베트남"
46,"대표, 배달, 조사, 세계, 매출"
47,"운전, 음주, 강등, 지질, 공원"
48,"유산, 세계, 축전, 고분, 국가"
49,"중국, 해군, 계획, 미국, 프란"
50,"중소기업, 재직, 우대, 저축, 기업"
51,"충전, 전기차, 탈모, 낮잠, 사업"
52,"클라우드, 기업, 구축, 데이터, 금융"
53,"폭발, 헤즈볼라, 레바논, 이스라엘, 삐삐"
54,"공연, 콜드플레이, 무대, 내한, 한국"
55,"데이터, 만두, 기술, 안동, 산업"
56,"제품, 국내, 기준, 안전, 판매"
57,"국민, 국회, 민주당, 본회의, 의원"
58,"중국, 전기차, 오라클, 유럽, 주차"
59,"브랜드, 고객, 유튜브, 매장, 동영상"
60,"건강, 보험, 급여, 소송, 경찰"
61,"규제, 중소기업, 맥주, 현장, 중앙회"
62,"외국인, 평택, 센터, 사우디, 관계"
63,"육군, 치매, 루마니아, 참모총장, 운용"
64,"가을, 상품, 할인, 진행, 기자"
65,"발사, 북한, 시험, 탄도미사일, 미사일"
66,"추석, 연휴, 응급실, 의료, 병원"
67,"게임, 개발, 대표, 작품, 연사"
68,"지질, 공원, 피해, 세계, 지원"
69,"위원회, 법안, 의원, 특위, 영화제"
70,"대표, 예술, 시민, 곡성, 작가"
71,"한국, 공감, 대출, 제시, 라운지"
72,"샤오미, 지수, 달러, 대비, 시장"
73,"투자, 사업, 지역, 발전, 기업"
74,"분양, 서울, 미래, 교육, 접종"
75,"국제, 컬렉션, 스케이트장, 비통, 다미"
76,"의료인, 골프, 관리, 의사, 방안"
77,"지원, 치매, 대비, 학원, 의대"
78,"산업, 생산, 공장, 의약품, 지역"
79,"투자, 펀드, 출자, 사업, 민간"
80,"야생, 교육, 가맹, 대한, 생물소재"
81,"운전, 운수, 검사, 종사, 디스커버리"
82,"폭염, 기온, 지역, 오늘, 전국"
83,"테크, 투자, 기업, 금융, 유치"
84,"상승, 서울, 가격, 전국, 주택"
85,"이스라엘, 미국, 공격, 공장, 폭발"
86,"도서관, 로터스, 방안, 시행, 중앙"
87,"공항, 사용, 보험, 경우, 여객"
88,"한국, 기독교, 재즈, 선물, 총괄"
89,"대통령, 트럼프, 해리스, 대선, 후보"
90,"대통령, 체코, 기자, 북한, 뉴스"
91,"해군, 요구, 탁자, 수익, 감사원"
92,"지휘자, 상황, 오케스트라, 청년, 전문의"
93,"중국, 미국, 고객, 아트, 기업"
94,"인스타그램, 티톤, 브로스, 브랜드, 계정"
95,"한국, 하나님, 배터리, 에피, 모건스탠리"
96,"안심, 통증, 자녀, 중국, 제공"
97,"범죄, 경찰, 내년, 대응, 예산"
98,"고려아연, 공개매수, 생각, 주주, 영풍"
99,"이란, 인프라, 캠프, 데이터, 정책"
100,"관광, 인천, 문화, 콘텐츠, 개최"
