Topic,Frequency
서울,1118
한국,939
한국,939
한국,939
지역,928
대표,800
대표,800
대표,800
중국,776
중국,776
중국,776
중국,776
사업,759
지원,734
사용,696
금리,663
대통령,627
대통령,627
대통령,627
상승,618
투자,615
투자,615
제품,605
정보,530
최대,507
국민,495
교육,475
병원,465
의원,444
폭발,426
산업,422
주택,385
추석,346
발사,328
위원회,327
이스라엘,299
데이터,286
국제,270
중소기업,268
게임,254
게임,254
공시,253
유튜브,229
규제,228
브랜드,224
청년,210
애플,208
관광,208
테크,201
운전,200
운전,200
교회,198
건강,196
체코,194
접종,194
교수,193
공연,191
가을,189
공항,176
전시,174
해군,165
무전기,162
외국인,159
타이어,158
클라우드,152
디지털,151
유엔,144
축제,141
주행,140
범죄,129
고려아연,126
유산,120
베트남,113
수입,107
분양,105
결제,99
취업,96
폭염,95
인스타그램,86
충전,86
출연,85
육군,85
결핵,84
전형,80
안심,78
포항,77
사막,76
이란,75
뷰티,66
샤오미,66
지휘자,59
지질,55
미래에셋,53
변호사,52
훈민정음,42
노트북,41
야생,40
도서관,35
의료인,34
시빅,15
