Topic,Frequency
대통령,1463
대통령,1463
대통령,1463
대표,1262
대표,1262
북한,1100
정부,1080
사업,1009
러시아,952
한국,901
한국,901
병원,837
중국,830
중국,830
중국,830
지역,792
지역,792
서비스,789
서비스,789
서비스,789
미국,767
의료,673
제공,657
뉴스,606
의원,573
정보,489
언론,444
라인,434
장관,420
회장,420
국회,396
문화,380
산업,378
프로그램,317
데이터,302
경찰,279
행동,261
금리,260
자산,243
이스라엘,231
대회,230
인도,226
노조,219
상품,211
클라우드,211
오늘,210
직원,207
게임,205
조지아,203
교회,182
공급,179
버스,178
위험,173
웹툰,167
보험,163
기온,161
가상,143
리츠,143
탄소,134
노선,127
내각,123
스테이지,119
철도,117
현대차,111
기증,107
최저임금,102
맞춤,98
상권,96
매수,96
배터리,93
광고,93
뮤지컬,92
필리핀,91
분양,89
음악,86
수소,82
저축은행,82
공무원,80
아버지,78
가자지구,74
롯데,68
배달,65
의상,63
교환,63
과장,58
블랙,56
원주민,54
사이버,51
자극,50
습관,45
스님,42
자전거,41
지갑,41
중남미,41
알뜰폰,36
이유식,35
공차,32
노컷뉴스,32
비비고,28
당근,26
