Topic,Words
1,"푸틴, 대통령, 러시아, 북한, 방북, 군사, 자동, 유사시, 조약, 개입"
2,"후보, 장관, 출생, 진료, 대통령실, 거부, 성과, 야당, 전망, 대통령"
3,"집단, 의협, 진료, 전국, 병원, 명령, 거부, 서울대, 의료, 교수"
4,"폐지, 실장, 종부세, 발언, 정부, 정책, 야당, 대통령실, 확정, 대통령"
5,"장관, 교체, 대통령실, 윤석열, 단계, 대통령, 복지부, 통화, 정리, 보건복지부"
6,"의원, 문재인, 여사, 언론, 허위, 수사, 비용, 대통령, 검찰, 인도"
7,"장관, 인사, 후보, 국회, 교체, 여당, 대통령실, 아시아, 개국, 검증"
8,"실장, 상속세, 종부세, 구체, 폐지, 대통령실, 인하, 대해, 개편, 검토"
9,"인하, 종료, 조치, 연장, 부담, 조정, 추가, 올해, 국제, 축소"
10,"대통령실, 진료, 대통령, 질환, 관계자, 의료, 명령, 거부, 불법, 집단"
11,"대통령실, 출생, 후보, 여성, 윤석열, 정책, 기준, 남성, 조건, 하락"
12,"출생, 신설, 대통령실, 대통령, 성과, 후보, 우리나라, 작업, 인사, 윤석열"
13,"상속세, 실장, 개편, 폐지, 구체, 방향, 대통령실, 정부, 먼저, 제시"
14,"법안, 수사, 사건, 국회, 추천, 통과, 민주당, 대통령, 국방부, 심사"
15,"응답, 대통령, 조사, 포인트, 발표, 국민, 카드, 통화, 신뢰, 지난"
16,"개발, 투자, 해외, 장관, 자원, 정부, 브리핑, 전략, 제도, 구조"
17,"직무, 대통령, 여사, 목사, 위반, 혐의, 부부, 처분, 기자회견, 위원장"
18,"종부세, 대통령실, 폐지, 상속세, 개편, 정책, 민주당, 야당, 실장, 카드"
19,"출생, 장관, 대통령실, 차관, 검증, 교체, 인사, 윤석열, 검토, 예상"
20,"협력, 러시아, 북한, 푸틴, 자동, 군사, 방북, 대통령, 군사개입, 조약"
21,"상속세, 정부, 구체, 개편, 공감, 인하, 방향, 문제, 종부세, 실장"
22,"검토, 예산, 공감, 폐지, 대해, 방향, 정부, 구체, 실장, 논의"
23,"장관, 교체, 대통령, 대통령실, 거부, 불법, 윤석열, 비상, 진료, 대책"
24,"상속세, 종부세, 개편, 과제, 정부, 폐지, 공감, 지방, 필요성, 재정"
25,"상속세, 종부세, 개편, 구체, 검토, 실장, 방안, 폐지, 대해, 공감"
26,"장관, 대통령실, 인사, 출생, 교체, 통화, 대통령, 차관, 고위, 관계자"
27,"대통령, 거부, 윤석열, 비상, 진료, 집단, 대책, 의료, 갈등, 대통령실"
28,"집단, 대책, 비상, 거부, 불법, 환자, 진료, 대통령, 의료, 노동자"
29,"서울대, 병원, 집단, 의료, 정부, 불법, 대통령, 거부, 의대, 비상"
30,"서울대, 집단, 예고, 병원, 교수, 대통령, 무기한, 아시아, 거부, 개국"
31,"집단, 서울대, 의료, 병원, 정부, 의대, 불법, 대통령, 대책, 전날"
32,"민주당, 여사, 상임, 위원장, 의혹, 국회, 위원회, 의원, 야당, 협상"
33,"아시아, 개국, 대통령, 윤석열, 집단, 중앙, 거부, 국빈, 불법, 예고"
34,"대통령, 무기한, 대변인, 대통령실, 거부, 돌입, 불법, 대한의사협회, 예고, 서울대"
35,"집단, 총리, 의료, 병원, 대통령, 서울대, 의대, 대책, 정부, 대위"
36,"의료, 교수, 대통령, 대통령실, 불법, 서울대, 윤석열, 비상, 집단, 대책"
37,"발의, 의원, 노조, 근로자, 노동조합, 노총, 민주, 법안, 개정안, 조항"
38,"의원, 국민, 후보, 선언, 대표, 정치, 여의도, 기존, 위원장, 라며"
39,"민주당, 상임, 국민, 구성, 원내대표, 협상, 국회, 여야, 여당, 의회"
40,"위원장, 의원, 언론, 국민, 갈등, 대통령, 비상, 대해, 대책, 보도"
41,"대표, 교사, 의원, 혐의, 재판, 공개, 사건, 이재명, 얘기, 주장"
42,"발의, 의원, 국회, 민주당, 법안, 노동자, 노총, 노조, 사회, 민주"
