Topic,Frequency
대통령,1139
대통령,1139
대통령,1139
시장,972
사업,905
사업,905
사업,905
정부,881
기술,860
기술,860
협력,827
협력,827
지역,811
제공,763
미국,755
의원,747
의원,747
중국,731
중국,731
중국,731
의료,711
병원,674
병원,674
글로벌,542
넥슨,536
금융,445
북한,435
북한,435
학생,434
학생,434
대출,406
페이,403
고객,402
게임,385
삼성,352
버스,351
후보자,322
수사,283
경찰,282
매출,273
브랜드,271
배출,263
스마트,262
보안,253
주택,233
사고,228
통일,226
건설,225
상품,222
셰익스피어,217
추천,213
인증,212
교회,210
인권,207
물가,184
시설,176
구매,176
기후,174
방심위,168
교황,160
몽골,159
이스라엘,157
지수,157
트럼프,154
청년,153
감독,151
스타트업,146
반도체,134
기온,131
우크라이나,131
아이폰,131
우크라이나,131
공장,126
점검,116
교사,105
포스코,103
가구,100
내일,97
울산,96
정비,85
공휴일,84
교섭,82
훌리오,80
학과,77
갤러리,69
러닝,62
메밀,62
교도소,56
스프링,55
연극,51
안세영,50
빗썸,49
펀드,44
그린벨트,44
택시,42
커머스,41
백신,34
인천공항,27
심부전,21
몽고,17
