Topic,Words
1,"대통령실, 청사, 출범, 용산, 재판매, 통합, 윤석열, 촬영, 금지, 성과"
2,"대통령실, 청사, 출범, 용산, 재판매, 통합, 발언, 윤석열, 금지, 성과"
3,"대통령실, 청사, 출범, 용산, 재판매, 통합, 윤석열, 촬영, 금지, 성과"
4,"통합, 국민, 대통령, 민간, 대통령실, 청사, 출범, 용산, 위원, 위원장"
5,"대통령, 대통령실, 청사, 출범, 용산, 위원, 통합, 윤석열, 촬영, 성과"
6,"대통령, 통합, 윤석열, 성과, 보고, 위원회, 국민, 대통령실, 청사, 출범"
7,"대통령, 통합, 윤석열, 성과, 보고, 위원회, 국민, 대통령실, 청사, 출범"
8,"통합, 대통령, 국민, 민간, 대통령실, 청사, 출범, 용산, 위원, 위원장"
9,"대통령, 통합, 윤석열, 성과, 보고, 위원회, 국민, 대통령실, 청사, 출범"
10,"대통령, 통합, 윤석열, 성과, 보고, 위원회, 국민, 대통령실, 청사, 출범"
11,"대통령, 통합, 윤석열, 성과, 보고, 위원회, 국민, 대통령실, 청사, 출범"
12,"대통령, 통합, 윤석열, 성과, 보고, 위원회, 국민, 대통령실, 청사, 출범"
13,"대통령, 대통령실, 청사, 출범, 용산, 위원, 통합, 윤석열, 촬영, 성과"
14,"통합, 국민, 대통령, 민간, 대통령실, 청사, 출범, 용산, 위원, 위원장"
15,"대통령, 통합, 윤석열, 성과, 보고, 위원회, 국민, 대통령실, 청사, 출범"
16,"통합, 대통령, 국민, 민간, 대통령실, 청사, 출범, 용산, 위원, 위원장"
17,"통합, 대통령, 국민, 민간, 대통령실, 청사, 출범, 용산, 위원, 위원장"
18,"대통령, 대통령실, 청사, 출범, 용산, 통합, 발언, 윤석열, 성과, 보고"
19,"대통령, 대통령실, 청사, 출범, 용산, 위원, 통합, 윤석열, 촬영, 성과"
20,"장기, 대회, 회장, 개최, 흐름, 보건, 법인, 변경, 변화, 별로"
21,"여사, 선수단, 김건희, 파리, 격려, 재판매, 윤석열, 촬영, 금지, 기념"
22,"여사, 선수단, 김건희, 파리, 격려, 재판매, 윤석열, 촬영, 금지, 기념"
23,"여사, 선수, 선수단, 김건희, 파리, 선물, 격려, 재판매, 윤석열, 금지"
24,"여사, 선수단, 김건희, 파리, 격려, 재판매, 윤석열, 촬영, 금지, 기념"
25,"격려, 선수단, 파리, 재판매, 윤석열, 금지, 대통령, 기자, 방향, 법인"
26,"여사, 선수단, 김건희, 파리, 격려, 재판매, 윤석열, 촬영, 금지, 기념"
27,"격려, 선수단, 파리, 재판매, 윤석열, 금지, 대통령, 기자, 방향, 법인"
28,"선수단, 파리, 격려, 재판매, 요청, 윤석열, 금지, 대통령, 사진, 기자"
29,"선수단, 선수, 파리, 선물, 격려, 재판매, 윤석열, 금지, 대통령, 기자"
30,"선수단, 파리, 격려, 재판매, 요청, 윤석열, 금지, 대통령, 사진, 기자"
31,"선수, 선수단, 파리, 격려, 재판매, 윤석열, 금지, 대통령, 발표, 기자"
32,"격려, 선수단, 파리, 재판매, 윤석열, 금지, 대통령, 기자, 방향, 법인"
33,"격려, 선수단, 파리, 재판매, 윤석열, 금지, 대통령, 기자, 방향, 법인"
34,"선수, 선수단, 파리, 격려, 재판매, 감사, 윤석열, 금지, 대통령, 국민"
35,"선수, 선수단, 파리, 격려, 재판매, 감사, 윤석열, 금지, 대통령, 국민"
36,"선수, 선수단, 파리, 격려, 재판매, 감사, 윤석열, 금지, 대통령, 국민"
37,"국민, 대표, 민주당, 원내대표, 추석, 연휴, 인사, 여야, 검찰, 메시지"
38,"원내대표, 부분, 의료, 입장, 수사, 대화, 대해, 요구, 논의, 의정"
39,"대변인, 국민, 대한민국, 명절, 임명, 남성, 인구, 맞이, 홍보, 어려움"
40,"대통령, 의원, 최저, 여당, 평가, 포인트, 국민, 기록, 부정, 하락"
41,"후보, 민주당, 영광, 곡성, 조국, 군수, 혁신, 지지, 전남, 출마"
42,"김건희, 개혁, 원내대표, 입장, 인사, 의혹, 대표, 생각, 여사, 조성"
43,"정보통신부, 경기도, 네이버, 과학기술, 차관, 통한, 안내, 지도, 점검, 병원"
44,"정보통신부, 경기도, 네이버, 과학기술, 차관, 통한, 안내, 지도, 점검, 병원"
45,"정보통신부, 경기도, 네이버, 과학기술, 차관, 통한, 안내, 지도, 점검, 병원"
