Topic,Frequency
지난,1700
추석,1278
추석,1278
연휴,950
연휴,950
대통령,938
대통령,938
대통령,938
시장,746
대표,745
대표,745
미국,720
의료,703
병원,678
기업,606
거래,603
중국,514
가족,480
사진,407
기술,405
여사,395
증가,388
우주,373
최고,360
사고,355
후보,334
풍선,308
금리,283
금융,267
행사,264
게임,261
플랫폼,245
주민,237
트럼프,236
관광,231
영화,229
영화,229
기온,214
치료,213
날씨,205
콘텐츠,204
이야기,201
대출,192
작품,189
작품,189
여성,186
의사,183
휴게소,182
휴게소,182
폭염,181
인도,175
전기차,174
이스라엘,173
이스라엘,173
고속도로,170
이산가족,170
항공,169
작가,169
스마트,168
애플,159
호텔,155
채권,155
선물,153
교수,151
불법,150
운동,148
반도체,143
아이폰,127
태풍,124
공무원,123
위반,110
중소기업,110
비트코인,109
치매,97
소나기,93
배추,87
만두,82
선수,79
학습,77
반려동물,73
단고기,72
자살,68
전기요금,67
식사,66
체코,65
스팸,64
개혁,60
수면,58
트램,57
리조트,55
코스모스,55
금투세,52
기획전,51
바이러스,49
목사,49
환율,44
삿포로,44
장례식,43
한부모,36
변조,17
