Topic,DetailedWords
1,"행사, 미국, 흑인, 의회, 부통령"
2,"금리, 인하, 미국, 사업, 시장"
3,"미국, 비트코인, 기업, 가격, 한국"
4,"배추, 여름, 재배, 기후, 폭염"
5,"개혁, 베테, 연금, 관객, 휴전"
6,"금투세, 지수, 시행, 정책, 투자자"
7,"리조트, 들개, 호텔, 한국, 트렘피어"
8,"대통령, 연휴, 격려, 경찰서, 추석"
9,"작품, 포장, 주인공, 웹툰, 게임"
10,"스팸, 이란, 지원, 모집, 러시아"
11,"사진, 교회, 샤크, 리나, 부패"
12,"기온, 최고, 광주, 평균, 전남"
13,"비트코인, 코인, 알트, 리움, 시장"
14,"여사, 장애, 센터, 시설, 방문"
15,"중소기업, 회의, 정책, 장관, 디지털"
16,"후보, 의원, 교육감, 일화, 위원장"
17,"금융, 발레단, 발레, 민철, 기술"
18,"플랫폼, 기업, 규제, 시장, 전기차"
19,"이스라엘, 명절, 미사일, 대통령, 공연"
20,"변조, 문자, 보험, 박물관, 고창"
21,"게임, 인기, 오픈, 매출, 초등학생"
22,"반도체, 사업, 기술, 장비, 중국"
23,"날씨, 방송, 김동완, 기상, 고인"
24,"거래, 아파트, 서울, 가장, 전용"
25,"한부모, 경우, 임금, 종양, 상용"
26,"휴게소, 가게, 만두, 대표, 설렁탕"
27,"사고, 영국, 보트, 주민, 프랑스"
28,"트램, 모델, 국내, 기아, 콜로라도"
29,"선물, 경북, 행사, 관측, 세트"
30,"의료, 연휴, 병원, 응급실, 운영"
31,"대통령, 국민, 민주당, 여사, 특검"
32,"전기차, 중국, 일본, 음식, 한국"
33,"호텔, 교회, 제공, 추석, 서울"
34,"만두, 메밀, 상거래, 업무, 통상"
35,"불법, 사이트, 공급, 가구, 태깡"
36,"우주, 폴라리스, 스페이스, 유영, 지구"
37,"채권, 투자자, 금리, 회장, 투자"
38,"인도, 회의, 정상, 미국, 총리"
39,"지난, 피해, 소방, 화재, 차량"
40,"병원, 임신부, 이송, 환자, 신고"
41,"학습, 코로나, 사업, 주가, 홈런"
42,"애플, 아이폰, 기능, 출시, 시장"
43,"중국, 상승, 징계, 주택, 증가"
44,"기업, 상장, 심부전, 제닉스, 의대"
45,"추석, 제보, 체험, 지역, 기온"
46,"기획전, 평가, 추석, 쇼핑, 지난"
47,"대표, 스님, 진우, 종교, 민주당"
48,"아이폰, 행사, 원금, 채용, 진행"
49,"최고, 광주, 브로커, 기록, 기온"
50,"고속도로, 부근, 방향, 추석, 오후"
51,"작가, 유니티, 경매, 전남, 문화재단"
52,"소나기, 지역, 바다, 제주도, 기온"
53,"전기요금, 우리나라, 가정, 산업, 전기"
54,"시장, 영상, 전통, 교육, 공모전"
55,"트럼프, 후보, 해리스, 대통령, 미국"
56,"치매, 건강, 고택, 혈관, 기능"
57,"휴게소, 매출, 순이익, 광주, 의원"
58,"연휴, 수급, 부정, 지난해, 추석"
59,"의사, 명단, 국회의원, 공개, 국민"
60,"반려동물, 방문, 교황, 근무, 여행"
61,"태풍, 중국, 상하이, 공항, 중단"
62,"삿포로, 중국, 개통, 북한, 호텔"
63,"식사, 음식, 부채, 단백질, 지방"
64,"이산가족, 통보, 기상청, 기념, 날씨"
65,"콘텐츠, 규정, 중국, 서비스, 제작"
66,"증가, 개선, 전망, 회복, 투자"
67,"환율, 건설, 저작물, 상여금, 추석"
68,"폭염, 제주, 기온, 연휴, 서울"
69,"항공, 교육청, 우주, 협약, 아이티"
70,"풍선, 쓰레기, 북한, 대남, 신고"
71,"자살, 이익, 호텔, 기업, 하이브리드"
72,"체코, 폭우, 마을, 지역, 홍수"
73,"운동, 이웃, 여사, 전달, 세대"
74,"위반, 표시, 가전, 제품, 원산지"
75,"선수, 시장, 양궁, 윈엔윈, 세계"
76,"대출, 주택, 실수, 명절, 담보"
77,"주민, 조사, 물질, 결과, 유해"
78,"스마트, 싱스, 교육감, 후보, 서비스"
79,"교수, 커피, 대통령, 마을, 하루"
80,"수면, 프로그램, 학자금, 마을, 상환"
81,"대통령, 스프링필드, 병원, 지난, 미국"
82,"대표, 게임, 모습, 대통령, 조국"
83,"바이러스, 이강인, 베네수엘라, 인도, 아마존"
84,"이야기, 넷플릭스, 평화, 세계, 요리"
85,"가족, 애정, 라면, 사람, 계획"
86,"여성, 수색, 혐의, 신체, 편의점"
87,"추석, 당일, 점포, 영업, 개점"
88,"영화, 한국, 극장, 덴마크, 한글"
89,"관광, 추석, 경남, 이벤트, 블랙홀"
90,"연휴, 서비스, 추석, 정보, 문자"
91,"장례식, 별세, 오전, 발인, 호실"
92,"단고기, 북한, 요리, 개고기, 시트"
93,"기술, 예산, 개발, 국방, 연구개발"
94,"영화, 할인, 제공, 고객, 플레이"
95,"공무원, 칠곡군, 휴가, 홍삼, 의회"
96,"코스모스, 이란, 발사, 수주, 건설"
97,"치료, 비만, 가구, 체중, 작용"
98,"작품, 작가, 미술관, 전시, 파사드"
99,"이스라엘, 가상, 기업, 엔비디아, 경기"
100,"목사, 중국, 소행성, 촉법소년, 범죄"
