Topic,Frequency
대표,829
대표,829
미국,799
대통령,796
시장,721
시장,721
사업,712
사업,712
기업,640
지원,638
기술,607
의료,598
대학,554
중국,542
중국,542
중국,542
사회,509
국민,500
서비스,500
사용,495
사용,495
금리,439
금리,439
투자,426
계획,420
교육,411
와인,402
와인,402
슈가,402
와인,402
의원,397
카카오,366
카카오,366
행사,366
카카오,366
교수,351
교수,351
게임,348
게임,348
데이터,344
디지털,318
디지털,318
화재,313
의장,295
대회,289
기능,279
사고,274
부산,268
부산,268
치료,259
브랜드,244
무효,232
인플레이션,230
파월,215
여행,215
질환,212
교토,207
콘텐츠,187
전기차,181
코로나,166
종합,156
심의,153
배터리,141
공격,139
오염수,134
티맥스,133
국장,132
연금,132
차량,128
애플,115
보안,113
후보자,113
인건비,112
광고,108
제보,103
출생,100
유한양행,95
대만,91
린치,86
다이아몬드,85
키옥,83
이방인,81
하나님,78
사막,78
회생,77
통증,66
폐기물,55
청약,51
오바마,48
방통위,48
쌍둥이,43
유시,43
총재,39
반려견,36
화산,36
예비군,32
배넌,30
버추,27
까웨,22
노컷뉴스,22
