Topic,Frequency
대표,1096
대표,1096
대표,1096
대통령,1039
시장,836
시장,836
사업,785
사업,785
기업,774
미국,770
교육,685
민주당,642
민주당,642
국민,607
기술,606
개발,593
거래,582
중국,546
중국,546
국내,536
북한,522
북한,522
사회,457
의원,448
병원,429
연구,427
플랫폼,405
러시아,401
이스라엘,384
이스라엘,384
데이터,372
데이터,372
회장,372
평가,361
문화,352
치료,346
일본,337
고객,314
전기차,314
전기차,314
고객,314
전기차,314
학생,311
코로나,289
코로나,289
상품,288
태풍,276
사건,275
가격,275
우크라이나,274
통일,267
위원장,264
항공,254
대출,251
직무,225
건설,223
게임,219
보안,218
상장,215
구조,208
선수,207
차량,202
차량,202
전력,185
제주,182
노조,170
배달,162
아파트,157
작가,157
트럼프,156
바이오,150
공연,150
심의,148
주식,147
홈쇼핑,135
이익,126
양궁,123
이미지,121
교육부,112
열차,107
질문,94
택시,94
청소년,92
아이폰,87
아이스크림,84
팩트,66
가입자,64
세포,64
랜섬,62
교육감,61
과장,59
위성,56
군산,55
자각몽,51
예매,50
요트,38
신호등,37
막걸리,32
우체국,17
하안거,13
