Topic,Words
1,"학교, 대통령, 국무회의, 윤석열, 국가, 지자체, 파리, 선수, 민간, 당부"
2,"세력, 국가, 국민, 야당, 전쟁, 의원, 을지, 국무회의, 금리, 언론"
3,"대통령실, 재정, 민주당, 청문회, 정책, 지적, 강조, 정부, 관계자, 상속세"
4,"대통령실, 대표, 전달, 축하, 민주당, 연락, 차례, 이재명, 예방, 오늘"
5,"국가, 대통령, 윤석열, 세력, 자유, 사회, 을지, 민간, 국무회의, 내부"
6,"대통령실, 민주당, 축하, 대표, 이재명, 전달, 대해, 관련, 사실, 대통령"
7,"전달, 축하, 민주당, 연락, 대통령실, 대표, 관련, 대통령, 이재명, 대화"
8,"북한, 대통령, 도발, 국민, 국무회의, 주문, 위협, 전쟁, 공격, 미사일"
9,"대표, 대통령실, 축하, 이재명, 민주당, 신임, 대통령, 윤석열, 공식, 답변"
10,"통일, 독트린, 헌법, 자유, 대통령, 추진, 평화, 대한민국, 북한, 나라"
11,"민주당, 대통령실, 전달, 축하, 연락, 대표, 차례, 재정, 여러, 이재명"
12,"세력, 대통령, 국무회의, 발언, 국가, 북한, 비판, 연습, 을지, 정권"
13,"대통령실, 대표, 축하, 이재명, 입장, 제안, 전달, 회담, 대통령, 연락"
14,"세력, 대통령, 국가, 을지, 북한, 자유, 내부, 연습, 국무회의, 주문"
15,"피해, 점검, 총리, 태풍, 안전, 지자체, 대비, 종다리, 발생, 시설"
16,"대통령실, 대표, 민주당, 축하, 이재명, 민생, 올림픽, 재정, 관련, 신임"
17,"인상, 단계, 세대, 개혁, 시기, 대통령실, 부담, 적용, 가입, 의무"
18,"피해, 점검, 안전, 지자체, 통제, 총리, 발생, 태풍, 시설, 우려"
19,"통일, 헌법, 독트린, 대통령실, 발언, 대통령, 국무회의, 평화, 추진, 대한민국"
20,"북한, 세력, 안보, 을지, 대통령, 국가, 사회, 대통령실, 자유, 강조"
21,"고인, 사건, 위원장, 조사, 사망, 직원, 관련, 처리, 면서, 명품"
22,"피해, 총리, 태풍, 점검, 안전, 지자체, 발생, 시설, 우려, 예상"
23,"을지, 대통령, 훈련, 북한, 자유, 국가, 연습, 세력, 민주주의, 체제"
24,"과장, 기획, 기념, 추진, 사업, 보험, 보호, 보유, 보안, 변호사"
25,"재정, 민주당, 청문회, 대통령실, 관계자, 민생, 국가, 지원, 기여, 정부"
26,"통일, 독트린, 헌법, 대통령, 추진, 대한민국, 평화, 한반도, 이야기, 대통령실"
27,"대표, 대통령실, 전달, 회담, 축하, 이재명, 대통령, 올림픽, 신임, 전당대회"
28,"대통령실, 민생, 재정, 용산, 청문회, 민주당, 청사, 대통령, 지원, 정부"
29,"세력, 발언, 민주주의, 대통령실, 위협, 자유, 대통령, 사회, 국가, 헌법"
30,"대통령실, 사과, 민주당, 공식, 의원, 민생, 재정, 대통령, 청문회, 관계자"
31,"대통령, 세력, 안보, 국민, 국무회의, 광복절, 을지, 표현, 의지, 야당"
32,"대표, 대통령실, 회담, 여야, 신임, 연설, 이재명, 입장, 제안, 전달"
33,"대통령, 을지, 통일, 국무회의, 자유, 용산, 독트린, 대통령실, 헌법, 윤석열"
34,"통일, 독트린, 헌법, 대통령, 기본, 대통령실, 자유, 추진, 나라, 평화"
35,"대통령실, 통일, 청문회, 재정, 민주당, 대표, 독트린, 대통령, 비판, 자유"
36,"마음, 일본, 대통령실, 발언, 비판, 국민, 과거, 야당, 윤석열, 위원"
37,"선거, 후보, 예비, 의원, 행위, 당시, 답변, 고발, 세종, 계약"
38,"태풍, 종다리, 해상, 대책, 예상, 내일, 제주, 북상, 전남, 당부"
39,"국회, 대표, 완화, 혁신, 민주당, 동의, 개정, 심사, 정치, 개혁"
40,"쯔양, 변호사, 혐의, 청구, 검찰, 대한, 대해, 업무, 형사, 사실"
41,"대표, 의원, 이재명, 대변인, 체제, 의장, 정책, 대선, 사무, 임명"
42,"검사, 의원, 의혹, 자료, 확인, 기록, 현장, 사실, 국회, 민주당"
43,"발의, 개정안, 수급, 단계, 노동, 법안, 조정, 취지, 소속, 국회"
44,"특검법, 국민, 대표, 추천, 발의, 의혹, 민주당, 이재명, 요구, 조건"
45,"대표, 민생, 위원, 최고, 특검법, 국민, 윤석열, 정권, 이재명, 회담"
46,"수급, 발의, 개정안, 법안, 단계, 의원, 대응, 예정, 노동, 인구"
47,"세력, 국가, 국민, 야당, 전쟁, 의원, 을지, 국무회의, 금리, 언론"
