Topic,Frequency
정부,1349
정부,1349
대통령,1235
대통령,1235
대한,1132
사업,1003
기업,961
기업,961
대표,810
대표,810
한국,788
지역,764
미국,750
의료,740
의료,740
중국,729
중국,729
지원,724
기술,645
국내,633
지난해,621
투자,600
통신,589
북한,588
서비스,573
의대,525
글로벌,482
인도,459
러시아,442
대학,393
위원회,389
증가,380
국회,359
게임,334
게임,334
생산,300
피해,295
대출,293
대출,293
수출,283
이스라엘,282
학생,229
우크라이나,227
선정,227
공연,218
애플,202
애플,202
부산,193
건설,191
스테이지,187
기온,186
쿠팡,176
조합,159
버스,142
플루,142
상속세,140
주민,140
주가,139
제보,137
가구,135
이스라엘군,133
어린이,133
배터리,128
사랑,122
자율,118
총선,117
기후,114
부문,109
원전,107
호주,104
국무총리,98
낙태,91
휴전,90
연주,87
로봇,87
체불,86
이사회,79
가상,79
태권도,78
하이마트,73
리움,72
조류인플루엔자,72
피부,67
우유,62
캐릭터,59
몬트리올,59
삼겹살,56
총괄,51
사비,50
신장,47
포로,45
러브,43
과일,38
자영,38
참전용사,36
소행성,36
최씨,35
해저케이블,28
난자,27
유리창,24
