Topic,Frequency
한국,1277
한국,1277
대표,1130
서울,1058
서울,1058
지원,1030
사업,937
사업,937
사업,937
사업,937
판매,784
판매,784
지역,755
피해,727
대통령,709
기술,703
위원장,673
금리,598
서비스,565
서비스,565
이사,558
이사,558
정보,547
병원,518
북한,505
투자,504
고객,456
고객,456
탄핵,395
제품,389
금융,381
노조,344
중국,331
의료,327
이스라엘,324
경찰,299
매출,297
올림픽,297
폭염,289
티몬,271
사장,251
중진국,222
수출,220
이동,219
환자,216
게임,213
대출,213
검사,207
하마스,200
선수,200
전시,193
러시아,191
기온,186
네이버,185
할인,184
교회,175
교회,175
롯데,160
건설,157
아파트,156
차량,151
제로,151
수수료,138
수사,136
매장,134
파월,116
피해자,116
허가,110
서울시,109
주가,93
언어,84
금감원,82
소설,81
빙수,80
플립,78
넥슨,73
실업,73
세트,72
태국,71
마운,70
골프,69
쯔양,63
로컬,62
펜싱,61
아이폰,59
플라스틱,58
내륙,54
발행,51
부통령,50
밴스,50
오렌지,50
계란,50
공인,47
피자,43
호남,40
바람,37
호주,33
도메인,32
딸기,32
원룸,19
