Topic,Frequency
통일,1031
대표,888
광복절,886
미국,873
미국,873
미국,873
일본,870
기술,800
기술,800
북한,782
북한,782
기자,764
기업,704
한국,696
의원,551
의원,551
의원,551
교육,544
배터리,489
배터리,489
매출,467
매출,467
투자,454
중국,418
중국,418
중국,418
민주당,414
관리,385
우크라이나,375
사람,371
항공,332
부산,328
평가,328
금융,320
상반기,317
이스라엘,312
애플,310
방송,301
후보,297
영업,292
영업,292
수출,288
변화,281
거래,281
업무,276
코로나,267
생각,261
주택,236
경찰,230
지진,225
전시,225
데이터,217
예방,215
롯데,204
하이,184
건설,184
테슬라,184
의대,183
상환,173
하마스,170
보험,169
질환,164
열대야,157
호텔,149
기류,148
작전,139
대전,133
콘텐츠,132
청구,127
인하,117
개혁,113
협회,111
태국,107
주주,104
음악,100
유플러스,95
파견,79
레드,76
배달,76
학원,74
소나기,72
광고,71
금연,64
유독,60
재건축,58
아프리카,56
마라톤,55
인텔,50
시멘트,49
임시정부,46
단호박,35
충전기,34
신약,34
김도영,32
참사,30
한우,26
경찰청장,21
최저임금,20
레버리지,16
나훈아,13
