Topic,Words
1,"해리스, 트럼프, 부통령, 후보, 대통령, 대선, 민주당, 바이든, 조사, 지지"
2,"개혁, 보험료, 연금, 세대, 기금, 대체, 장치, 시점, 소득, 대통령실"
3,"통일, 대통령, 자유, 경축, 축사, 광복절, 독트린, 여사, 주년, 종로구"
4,"통일, 북한, 대통령, 정권, 자유, 기념, 친일, 독트린, 일본, 나라"
5,"여사, 대통령, 참배, 주기, 식이, 통화, 대변인, 전날, 경축, 참석"
6,"광복회, 기념, 단체, 경축, 정부, 행사, 부산, 광복, 이종찬, 독립운동가"
7,"광복절, 민주당, 후보, 기념, 불참, 대표, 광복회, 행사, 역사, 참석"
8,"북한, 통일, 자유, 인권, 대통령, 대화, 주민, 펀드, 실질, 남북"
9,"행사, 광복, 광복회, 광복절, 경축, 단체, 참석, 독립운동, 국민, 특정"
10,"기금, 남북, 민간, 협력, 펀드, 북한, 인권, 축사, 자유, 촉진"
11,"고위, 체제, 논의, 대표, 현안, 그간, 참석, 국민, 대통령, 이후"
12,"통일, 북한, 남북, 독트린, 통일방안, 대통령, 공동체, 대통령실, 민족, 정권"
13,"보험료, 개혁, 인상, 연금, 소득, 국회, 대체, 정부, 가능성, 부담"
14,"북한, 통일, 주민, 체제, 대통령, 자유, 가치, 실무, 독트린, 정권"
15,"북한, 대통령, 주민, 통일, 선동, 인도, 남북, 추진, 지원, 독트린"
16,"생산, 물량, 추가, 비용, 당국, 계약, 부담, 시기, 최소, 검토"
17,"개혁, 보험료, 연금, 부담, 대체, 소득, 대통령실, 시기, 기금, 자동"
18,"개혁, 보험료, 세대, 대통령실, 연금, 기금, 시점, 자동, 발표, 적용"
19,"의원, 청문회, 김건희, 혐의, 여사, 인권, 위원회, 민주당, 주장, 윤석열"
20,"통일, 북한, 주민, 선수, 자유, 변화, 대통령, 독립유공자, 축사, 유도"
21,"일본, 축사, 대통령, 자유, 경축, 경제, 강조, 대신, 성장, 독립유공자"
22,"통일, 자유, 대통령, 독트린, 윤석열, 광복절, 남북, 추진, 강조, 축사"
23,"북한, 통일, 인권, 추진, 민간, 주민, 펀드, 국제, 독트린, 인도"
24,"자유, 통일, 대통령, 북한, 세력, 남북, 선동, 가짜, 광복, 대화"
25,"체제, 광복, 경축, 윤석열, 주년, 대통령, 지속, 광복절, 기자, 배터리"
26,"북한, 통일, 인권, 자유, 대통령, 일본, 추진, 언급, 인도, 독트린"
27,"행사, 광복, 광복회, 광복절, 국민, 대통령, 대통령실, 라며, 경축, 단체"
