Topic,Frequency
위원,1542
기술,1198
사업,1114
사업,1114
정부,958
지역,808
이사,785
미국,759
미국,759
의료,700
의료,700
중국,680
중국,680
시장,633
국회,519
서비스,500
그룹,499
사용,469
러시아,464
공격,457
공격,457
일본,402
대출,372
삼성,372
대통령실,356
후보자,347
게임,345
게임,345
사람,308
부산,303
한미,300
한미,300
학생,294
이스라엘,288
활용,282
항공기,269
의대,268
두산,264
안전,262
트럼프,251
치료,238
대회,238
대회,238
검사,233
주택,219
무인기,202
혜택,199
애플,186
교회,184
독도,174
주민,170
현대차,167
작품,163
감독,163
경남,153
콘텐츠,143
훈련,142
운동,139
로프,121
관광,120
호텔,118
관장,118
유튜브,116
지수,112
독일,112
롯데,110
와인,109
와인,109
기온,109
캐나다,108
수단,99
포인트,95
페이크,94
우버,91
랜섬,90
장비,88
건물,84
매각,84
타이어,84
국정원,80
태풍,73
가자지구,66
팝업,62
외교부,58
핵무기,51
브런치,45
노컷뉴스,42
미술관,41
슬래시,37
리비아,36
경주,33
랍스터,32
첼로,28
조합원,28
한우,28
폭동,27
척수,25
매트리스,25
유리,20
선명,19
